,H_Pow,ClusterSize,Mean_FracVaccinated,SD_FracVaccinated,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Contain_Day,Peak_Day,reff,SD_reff,reff30,SD_reff30
0,-1.85,1.0,0.3893793888774436,2.0226810813144966e-05,82885.9375,73934.82151463047,253.72916666666663,264.8595564881897,2.0,0.0,1.5901115737921891,0.4061918578145001,1.403705556858883,0.9136932828473204
1,-1.644,1.0,0.4362582231521712,2.577131364333467e-05,72674.70833333333,72216.25239661078,271.3125,301.2096291480227,2.0,0.0,1.5654594786429696,0.3508704549995821,1.4305576737766588,0.9215892971853256
2,-1.439,1.0,0.4774087262217999,1.874933549193632e-05,43501.6875,52183.87776305655,146.39583333333334,200.16490431251856,2.0,0.0,1.3926231067148998,0.4019127135883787,1.3357082145712356,0.9890580459560128
3,-1.233,1.0,0.5139590810826442,1.9780229616086728e-05,39427.020833333336,50452.40619970451,139.45833333333334,196.23183838807375,2.0,0.0,,,1.341436475264329,0.959179111845696
4,-1.028,1.0,0.5462055261184443,1.255999304929224e-05,29936.291666666668,34095.32928638706,98.08333333333331,117.17632346230124,2.0,0.0,1.363877468070576,0.4054504764463892,1.263195158703884,1.2584270119050247
5,-0.822,1.0,0.5747998197207619,1.1463285146354716e-05,30718.14583333333,33380.20306784578,86.95833333333333,101.6116843535384,2.0,0.0,1.3557526363843355,0.4015532990301358,1.1433960460716628,1.1102838223306812
6,-0.617,1.0,0.6000626884387816,9.11561511389064e-06,21280.58333333333,27979.03452308481,65.16666666666667,77.41085012007073,2.0,0.0,1.2079354788264027,0.443648257812106,0.8273852826732836,0.7824866633181067
7,-0.411,1.0,0.6225265496285773,9.108996457548436e-06,17628.1875,22459.51753394789,53.41666666666666,74.50312954538714,2.0,0.0,1.2624659991864629,0.3693806860521485,0.8588886245422197,0.7364470880379169
8,-0.206,1.0,0.6424177436898896,4.493578737147217e-06,9751.354166666666,14713.265678103226,21.625,35.58066950681496,2.0,0.0,,,0.9240177844944958,0.9138787597287572
9,0.0,1.0,0.6601242633678318,6.634972144422642e-06,10536.604166666666,12765.051565829264,32.791666666666664,51.13310054779786,2.0,0.0,1.194287441975611,0.3692379846855137,0.7720185675892598,0.8282543083890596
10,0.206,1.0,0.6758434496616017,5.51054242054596e-06,8682.5,11737.57198060996,25.916666666666668,41.47997893541256,2.0,0.0,1.082583628726596,0.3371162059283052,0.7424359814918855,0.8348946361015528
11,0.411,1.0,0.6897630177452664,4.752608533869405e-06,8683.604166666666,13681.68764901058,22.166666666666668,35.0339247947589,2.0,0.0,1.0813562553133045,0.3860885253786262,0.7433068787720746,0.8615059878819018
12,0.617,1.0,0.7022035110621756,5.656808783643706e-06,11775.416666666666,14612.958990601215,25.354166666666668,40.95222415352513,2.0,0.0,,,1.2430017864313658,1.8248403955990735
13,0.822,1.0,0.7132717832017486,4.029571909190068e-06,6868.270833333333,10514.644293898691,12.666666666666666,28.698975690323145,2.0,0.0,1.0757089500654688,0.3928113622023118,0.791508140591592,1.1673681366597304
14,1.028,1.0,0.7232172600702292,3.468865358066117e-06,8253.25,10871.417428969124,15.833333333333334,24.39858151905237,2.0,0.0,,,0.7644544870109492,1.2677317833066035
15,1.233,1.0,0.7320172875743259,3.895900307223908e-06,7980.208333333333,10570.453501731585,15.8125,27.058373659671105,2.0,0.0,1.127873062922036,0.3888552039142213,0.8498065096657782,1.13172882890372
16,1.439,1.0,0.7399564645039053,2.256265035979023e-06,4565.25,6735.348225845807,9.958333333333334,15.414773700153706,2.0,0.0,1.1000365484554304,0.3337857545748343,0.7079203771953483,0.9120999820610656
17,1.644,1.0,0.7470067119027998,3.0779365188010263e-06,6486.8125,9848.82251231026,11.541666666666666,20.89075773793876,2.0,0.0,1.057817364119087,0.3619801165364074,0.8902672103284184,1.0813108848597062
18,1.85,1.0,0.7533712556237293,1.9555247249592903e-06,6041.041666666667,8581.257250439876,8.354166666666666,13.047359859020528,2.0,0.0,1.0216638844811374,0.3930651472828944,1.0260391230898545,1.6702614136669134
19,-1.85,2.0,0.3894655943896344,4.198908113466448e-05,157601.97916666666,99307.94598010166,662.1875,549.7866377736623,2.0,0.0,1.6443890266766197,0.2948562759894318,1.7216551478446978,0.710760591314586
20,-1.644,2.0,0.436286904400551,2.8321361614818973e-05,113730.875,70298.407174118,431.125,331.07674915310383,2.0,0.0,1.5747001051354452,0.2444125399607335,1.5819529581651952,0.6594947273152256
21,-1.439,2.0,0.4774193424196267,2.2329587186330052e-05,85444.41666666667,53335.94148726854,313.2291666666667,238.53642744099287,2.0,0.0,1.496535796660564,0.2799688759279566,1.380894218330657,0.6770080855070228
22,-1.233,2.0,0.5139558056380557,2.015221442522052e-05,72850.58333333333,49605.18254360522,255.83333333333331,199.97886413141455,2.0,0.0,1.4883861401366048,0.2295234613818033,1.3784947238516156,0.6869398461204732
23,-1.028,2.0,0.5460658193894417,1.8745837589345545e-05,54579.8125,44005.97657603912,194.20833333333331,175.09401223504867,2.0,0.0,1.3715210395086153,0.2614690841544838,1.3056159212986829,0.6579727421670978
24,-0.822,2.0,0.574649426407747,1.3548630810477451e-05,35238.625,32529.95676631134,127.79166666666669,120.22672877549624,2.0,0.0,1.325799906175286,0.267886999614454,1.0961897187198864,0.6895026528669298
25,-0.617,2.0,0.5998371218778139,1.0184439109920498e-05,36524.708333333336,28974.633633766494,102.83333333333331,86.54732645386603,2.0,0.0,1.331621826980358,0.2570941251229059,1.3056030866167772,0.861425462564883
26,-0.411,2.0,0.6223080946334899,1.2195278740845366e-05,36346.770833333336,25694.327803754484,107.02083333333331,99.84104165768096,2.0,0.0,1.3317379679491226,0.1930015656052904,1.3356007141931203,0.6226580861063215
27,-0.206,2.0,0.6421198994995098,9.9531674407522e-06,21518.041666666668,21686.475138046764,78.375,79.07756090255864,2.0,0.0,1.2363402649651392,0.2700340868777577,1.151093704301979,0.8197883654879142
28,0.0,2.0,0.6597981101407496,9.07859893797544e-06,19856.25,20935.776116393317,62.5,70.14271166700073,2.0,0.0,1.144933722217455,0.2963507521464631,1.0517520240364362,0.6476826954208958
