,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage_full,vax_coverage_partial,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_50,r_eff_60,r_eff_74,r_eff_90
mean,477.918,0.426,393.133,194.589,6.78,2.088,266.861,0.455,28239.181,109.536,0.409,13880.419,196735.0,171074.0,20.838,0.025,16.823,8.5,0.304,0.09,11.563,0.022,0.0,0.0,0.02,564.55,0.0,0.0,199788.943,210.602,125.817,62.414,4.038,1.128,266.435,0.455,109.498,0.409,5654.398,171074.0,199999.545,199522.508,84.785,0.455,0.0010530133260042186,0.00010437417427766358,1.366918624937633,18.6451028253231,0.0,0.0,0.855371945982594,7.2945121913156585,0.7131315011382103,0.00043379700099103503,0.0,20.0,0.15,1.0,69.451,0.0,0.0,0.0,2.0293200563740847,1.2918955439990745,1.2675824412964947,1.340698653145795
median,424.0,0.0,350.5,168.0,6.0,2.0,239.0,0.0,28239.0,100.0,0.0,12863.0,196735.0,171074.0,18.0,0.0,14.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,199821.0,178.5,107.0,53.0,3.0,1.0,238.0,0.0,100.0,0.0,5099.5,171074.0,200000.0,199576.0,71.0,0.0,0.0008925022250111251,9.004209477445851e-05,1.4051095992644638,16.712063103984406,0.0,0.0,0.85537,7.295138151134767,0.7130797803401947,0.00039143940375652164,0.0,20.0,0.15,1.0,85.5,0.0,0.0,0.0,1.9346488399815205,1.252193633478282,1.255195320509556,1.355778532393649
std,321.5843929636477,0.7273603323340179,253.33563162976748,125.52015530737839,4.818383216060841,1.8909869993820243,155.38486456259224,0.7311015726350952,3.5658034093250226,60.71877364928802,0.6768878615968653,7429.579314620123,0.0,0.0,17.93921881163089,0.16248508055018898,14.343688940171994,7.549768142068934,0.5982824934275964,0.3065843994628461,9.595942533858416,0.14675672910479282,0.0,0.0,0.1400700525437883,431.690203655274,0.0,0.0,172.4874652740792,172.26980722831985,102.00444312586299,50.24515080263148,3.5661286114319086,1.3150457578903274,155.05636475569537,0.7311015726350952,60.69042200646922,0.6768878615968653,3910.9551861487835,0.0,0.7311015726350952,321.2452247589533,71.35104587002735,0.7311015726350952,0.0008613533230697436,8.996314179724265e-05,0.7104767507021996,6.288951155079269,0.0,0.0,3.1268461300209396e-06,0.050553412757802244,0.0005644522636622906,0.0002743324560427541,0.0,20.0,0.15,1.0,25.103099390314338,0.0,0.0,0.0,0.8848771903147016,0.5975130405396156,0.52752339435695,0.5557159252811951
