,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage_full,vax_coverage_partial,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_50,r_eff_60,r_eff_74,r_eff_90
mean,10987.258,38.483,8859.281,5326.897,275.437,80.712,4415.431,10.842,28239.08,1782.074,7.523,147673.519,188180.0,119751.0,437.791,3.741,505.853,327.164,22.467,6.883,402.878,1.176,0.0,0.0,0.758,7451.634,0.0,0.0,193428.173,6560.985,4433.008,2655.124,225.221,61.776,4376.948,10.842,1775.536,7.523,100889.951,119751.0,199989.158,189051.225,2127.977,10.842,0.032806720349569884,0.0022637572179467933,1.010903175020892,16.7301604107477,0.0,0.0,0.5987874607772701,9.054305196574497,0.5460642066001892,0.0028682883042347386,0.0,20.0,0.4,0.7,89.446,0.0,0.0,0.0,4.582227223829809,3.0166948980588058,2.8349714467857368,1.7072821525409696
median,11393.5,39.0,9153.5,5497.5,277.0,81.0,4367.0,10.0,28239.0,1820.0,7.0,152397.5,188180.0,119751.0,436.0,3.0,517.0,332.0,23.0,7.0,422.0,1.0,0.0,0.0,0.0,7541.0,0.0,0.0,193313.5,6677.5,4599.0,2778.5,227.5,62.0,4329.5,10.0,1814.5,7.0,105244.0,119751.0,199990.0,188642.5,2170.0,10.0,0.033389503498556565,0.0022582465784129124,0.8822526192368636,15.690742155070375,0.0,0.0,0.5987849392469623,9.053625492827539,0.5458513498306274,0.0029751923866569996,0.0,20.0,0.4,0.7,89.0,0.0,0.0,0.0,4.427573787235084,2.9812850400358646,2.820739779039638,1.6580343961034538
std,2108.0263633514132,16.95261342985506,2290.669173691894,1460.6577818046726,97.23838405863363,30.12720871080998,1685.3747587157927,5.833958439264979,3.548829975385436,530.9987327463016,4.20465814902355,31832.984500826635,0.0,0.0,112.61938752029086,2.0948287059583914,84.37004026723405,53.478173295457836,7.185578859322576,3.0888269378279922,114.87107765003547,1.2627820946697883,0.0,0.0,0.9769290610839614,936.6154464552347,0.0,0.0,885.7438485455241,884.9616590072775,787.2565444648922,517.0227472221558,75.92147409810501,22.25477699504309,1669.7370724719467,5.833958439264979,528.1415816182573,4.20465814902355,20583.482587648647,0.0,5.83395843926498,2093.145954385733,419.84067294827645,5.833958439264979,0.004425078081576637,0.0005825940531402643,0.44538197822616254,6.58249659895941,0.0,0.0,1.746779206552318e-05,0.07409080719993055,0.00670619976023739,0.0005661881827442292,0.0,20.0,0.4,0.7,4.066581365225587,0.0,0.0,0.0,1.7384249923161357,0.7698425275328086,0.32361026627412504,0.5091879754294601
