DATE_AS_AT,16+_fst-dose,16+_scd-dose,12+_fst-dose,12+_scd-dose
2021-08-01,36.97,18.47,34.691512583242016,17.33546619062971
2021-09-01,51.65,32.9,48.46251973315099,30.871694761380315
2021-10-01,66.96,47.98,64.42353873150662,46.61310794589734
2021-11-01,78.21,64.71,76.56471709181211,63.897009550628326
2021-12-01,86.84,77.21,85.4674797443583,76.42791122586134
2022-01-02,90.76,86.82,89.50220324523774,85.80269518507694
