,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,9805.818,0.0,8961.872,4727.438,332.728,108.495,7230.741,32.824,720095.772,3084.05,29.305,120716.887,0.0,0.0,195.681,0.0,184.222,99.333,8.033,2.636,179.421,0.976,0.0,0.0,0.878,2620.782,0.0,0.0,5090192.795,2542.869,1698.528,917.032,137.599,39.667,7229.873,32.763,3083.782,29.243,36264.625,75176.346,5099966.79,5090193.653,844.126,7263.738,0.0004986426078879658,3.847965843334394e-05,1.0801398601030126,28.857457902060254,0.0,0.0,0.014740597281089594,0.0,0.0,0.0,0.0,20.0,0.4,0.6,82.226,3.9976239799142634,1.512587740048808,1.7103935481582884,1.3791743475708562,1.16393133882216,1.0349393916185532
median,9999.0,0.0,9186.5,4851.0,340.0,111.0,7436.0,33.0,720096.0,3165.0,29.0,123567.0,0.0,0.0,195.0,0.0,185.0,99.0,8.0,2.0,181.0,1.0,0.0,0.0,1.0,2614.5,0.0,0.0,5090001.0,2550.0,1705.5,924.5,140.0,40.0,7430.0,33.0,3165.5,29.0,36295.0,67774.0,5099967.0,5090001.0,846.0,7467.0,0.0005000039314044297,3.828998499595818e-05,1.0710672136432358,30.0,0.0,0.0,0.013289118624805439,0.0,0.0,0.0,0.0,20.0,0.4,0.6,84.5,3.8650076985973594,1.4487027165079045,1.6895433365059067,1.3525412729272084,1.125051373702684,1.0156485469332148
std,1996.559288844153,0.0,1954.543184653815,1047.4477136682617,86.4477022321659,30.218754907311258,1840.3579057183797,11.604899728032883,0.7593369427287154,728.5423401844545,10.524673094388431,25951.637098887295,0.0,0.0,29.599753113571477,0.0,27.10703797000896,15.965995866967523,3.2662791643672437,1.7834474157329914,28.351182489422705,1.0071933470979832,0.0,0.0,0.9380810178209534,374.9615295261964,0.0,0.0,1997.607038146856,305.8402689462411,213.8124668652111,118.84291571067504,27.564215660616664,9.875202814658069,1839.935259358228,11.712472540544674,728.5167761755175,10.644306095385094,6050.73947568209,9007.147730470648,11.907127263940687,1997.0330642357053,108.20688912844162,1850.439720854618,5.998194270719152e-05,5.832837229659176e-06,0.14399031796028722,2.873888425705865,0.0,0.0,0.0017661850576544652,0.0,0.0,0.0,0.0,20.0,0.4,0.6,11.781210633886484,1.186583367505604,0.5445937781785536,0.37624971655771655,0.22271833845883157,0.19364495374518545,0.13600245867461597
