,H_Pow,ClusterSize,Mean_FracVaccinated,SD_FracVaccinated,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Contain_Day,Peak_Day,reff,SD_reff,reff30,SD_reff30
0,-1.85,1.0,0.3959717684268053,9.225700780844956e-05,472521.6875,276718.8823563724,1374.6041666666667,1187.639098049703,2.0,0.0,2.03410807520121,0.4614793778738869,2.1593748767564365,1.1559195634420327
1,-1.644,1.0,0.442835013936268,8.297495855769801e-05,431104.875,218870.26018038823,1324.2083333333333,955.2937825574434,2.0,0.0,2.101163322773463,0.239961370829782,2.306240858024544,1.2895495888609572
2,-1.439,1.0,0.4839903827615524,8.326361881219782e-05,338032.0833333333,188865.8498377329,1110.1041666666667,877.1161460144779,2.0,0.0,1.960648173857603,0.3693551306096702,1.9365567618526487,0.883435249443255
3,-1.233,1.0,0.5205160229736167,5.622836533779373e-05,269591.6041666667,144286.6484638308,744.5833333333334,550.7992194455653,2.0,0.0,1.948493238672781,0.3961875267425592,2.241948367261315,1.5048837202839989
4,-1.028,1.0,0.5526804833947462,6.706315006022746e-05,225892.6458333333,136127.27665829437,696.2291666666666,618.6734002302687,2.0,0.0,1.8735331009911596,0.3507078538690933,2.076524472291963,1.0237871720374605
5,-0.822,1.0,0.5812632849095704,3.807473521412106e-05,190379.0833333333,96316.50851071707,467.2708333333333,333.96379849569587,2.0,0.0,1.825254455914536,0.3342460238320077,2.008938403101963,0.7625120029463823
6,-0.617,1.0,0.6064818168564038,5.003372628703297e-05,127518.8125,119753.8951553518,393.5,420.5966886080834,2.0,0.0,1.5406097502840994,0.5438429805058624,1.5946888151926288,1.1942692819284064
7,-0.411,1.0,0.6289373451582428,3.5873786494389696e-05,117220.625,95810.16797495083,302.6041666666667,290.887909945536,2.0,0.0,1.6491451622376452,0.3893943307235167,1.5445891224032522,1.1023875477247316
8,-0.206,1.0,0.6487744022614238,4.255349548045495e-05,106163.16666666669,92363.33523859542,309.5208333333333,334.4393841705805,2.0,0.0,,,1.2783928680877248,0.9268510719033796
9,0.0,1.0,0.666480339961946,4.222394982194661e-05,93898.75,86526.76970409523,270.1458333333333,322.97671278831564,2.0,0.0,1.6389492655895797,0.3395742202258205,1.2696758919688316,0.983770708157196
10,0.206,1.0,0.6822127415407447,2.7885984353292248e-05,59468.395833333336,64985.51086260709,169.77083333333334,208.3626380098882,2.0,0.0,,,1.046643567097447,0.8907641471568406
11,0.411,1.0,0.6961558855352172,2.4708608932762315e-05,60916.0,57990.317623592186,152.79166666666666,180.98065705193568,2.0,0.0,1.4086734322635202,0.5055278223164179,1.324284005361182,1.1855395696045326
12,0.617,1.0,0.7086335483612524,2.768481097602662e-05,66170.66666666667,62716.11210822647,169.29166666666666,199.18663955166903,2.0,0.0,1.4959408173436273,0.4038670112106831,1.36697555652642,0.9337749813487968
13,0.822,1.0,0.7197054674610799,2.4802304827789997e-05,54552.3125,53358.97418993729,144.8125,175.64745351280192,2.0,0.0,1.4690689325278357,0.4034441242235495,1.5185349831949664,1.0919808386923928
14,1.028,1.0,0.7296411299572029,2.3894537787243745e-05,51082.583333333336,49362.92336201303,147.45833333333334,166.9710075907986,2.0,0.0,1.457853434398806,0.4216516935254049,1.16719545964216,0.8916665721867864
15,1.233,1.0,0.7384743855453624,2.1143975738329185e-05,48037.5,44436.37728880688,133.66666666666666,145.93737119756796,2.0,0.0,1.4391892660168206,0.4243044573246794,1.3115757349526949,1.126287454970735
16,1.439,1.0,0.7464116932901526,2.310585814656556e-05,52130.29166666666,50202.48967885631,147.97916666666666,157.77353681286263,2.0,0.0,1.4727827464030148,0.3557235481231289,1.361964124199229,1.2831685375059465
17,1.644,1.0,0.7534867186215156,2.210523357554924e-05,39158.6875,44918.21471753864,112.95833333333331,149.5491036320951,2.0,0.0,1.3709497214261956,0.4013565050445584,1.4328056808738705,1.5643356795443877
18,1.85,1.0,0.7598610684252608,2.0276303812292165e-05,38215.770833333336,41315.43168771337,107.66666666666669,136.01507008703166,2.0,0.0,1.3497788858761164,0.4152501988662411,1.0350462289690716,0.8004289030678728
19,-1.85,2.0,0.3953970092837429,8.863873040228859e-05,701280.0833333334,184454.36651975923,2411.6666666666665,1142.7940812135569,2.0,0.0,2.082154990978525,0.0864484214324083,2.4022769651435474,0.7629243273506783
20,-1.644,2.0,0.4424174882826158,7.781202150589881e-05,616965.3541666666,117237.88390848743,2276.125,896.5064019422306,2.0,0.0,2.027869529849088,0.065141390315312,2.365726586056972,0.5288962269060222
21,-1.439,2.0,0.4836914558327699,6.75002390382576e-05,508702.5,100620.23196156924,1860.1875,711.4929361127191,2.0,0.0,1.9839612765225567,0.0594231593249855,2.2970702770443903,0.5433885606643861
22,-1.233,2.0,0.5203387294560241,8.224114657918075e-05,409754.4375,117660.31415321951,1506.3958333333333,805.7213165743286,2.0,0.0,1.9298847076133885,0.0805134537644883,2.3270920089201765,0.5700111739344896
23,-1.028,2.0,0.5525817562566698,6.642479101836614e-05,334135.7916666667,91693.43505885164,1169.5625,612.8858803999461,2.0,0.0,1.8892620149962944,0.0899389428057679,2.368525245661054,1.0643109189436513
24,-0.822,2.0,0.5812445283729459,5.8332775071121016e-05,238876.875,105402.5108549945,741.3333333333334,511.7374382178412,2.0,0.0,1.7868196697077294,0.1980042106275076,1.867294625950298,0.6501971931140891
25,-0.617,2.0,0.6065499135084552,5.632327273408634e-05,230861.35416666663,93883.9984357087,755.7291666666666,473.49680353830576,2.0,0.0,1.790895256119919,0.1132177548407033,1.9780972482439096,0.6194593180354164
26,-0.411,2.0,0.6290900373416907,5.807602704837561e-05,183922.66666666663,84905.69566122352,608.0208333333334,470.7070503150681,2.0,0.0,1.709143299103517,0.1429108289054937,1.930156536280957,0.7373559965024836
27,-0.206,2.0,0.6489980835456701,4.923912310432264e-05,180283.125,73412.65949836132,574.0416666666666,386.9248076016691,2.0,0.0,1.7324381501308537,0.0942349482082175,1.8906149279678293,0.7753781713893807
28,0.0,2.0,0.666754177688525,4.207050720590954e-05,157067.5,78213.80717255447,490.5625,321.7558150543306,2.0,0.0,1.6543479110044312,0.256480069902017,1.7326071760990258,0.7166488324077674
29,0.206,2.0,0.6825538248378688,4.277779875548287e-05,130552.33333333331,72974.22264565474,401.9375,319.6507672944254,2.0,0.0,1.604197352853122,0.2258119237212267,1.5795374060137677,0.6047717174017411
30,0.411,2.0,0.6965350651852641,3.505647739489067e-05,126208.83333333331,66125.56429050409,366.3541666666667,256.6430992795275,2.0,0.0,1.6180652085893623,0.2335763310949027,1.6750378349916064,0.7165427026834279
31,0.617,2.0,0.7090672219523008,3.905315144271613e-05,112997.70833333331,62708.173808034415,375.3958333333333,280.8307387236247,2.0,0.0,1.5763807826545542,0.2483089708579986,1.6376603013430433,0.8219548923019633
32,0.822,2.0,0.7201755109171962,2.7720706849879564e-05,95567.33333333331,52734.30984010369,286.625,196.23744030822303,2.0,0.0,1.5414916579857367,0.2872533816842446,1.3935424591414858,0.5763511299415205
33,1.028,2.0,0.7301373450158296,3.381033947556143e-05,92305.5,59604.448436730025,260.625,236.16750501610483,2.0,0.0,1.4963605490174463,0.3121967084537687,1.4809123557946702,0.8252158266504726
34,1.233,2.0,0.7390132566435632,2.811191532298264e-05,83576.5625,57294.30857995919,229.16666666666663,193.96055020405825,2.0,0.0,1.527344571775037,0.230398440753512,1.635962521166568,1.0126345548638778
35,1.439,2.0,0.7469772719222633,2.5745397455878226e-05,88303.60416666667,46787.315478567965,254.25,175.7757880357089,2.0,0.0,1.5455564318714636,0.1987085580682737,1.7065019274229405,0.8291337240153006
36,1.644,2.0,0.7540852702526871,2.8521467864964022e-05,78407.5,52800.80739590612,238.3125,192.86994363968293,2.0,0.0,1.4946280037448278,0.2471432502950046,1.4791845514452235,0.812828392917106
37,1.85,2.0,0.7604879553196676,2.556727505431052e-05,68848.625,44557.73491971436,220.77083333333331,171.43192180004496,2.0,0.0,1.5041754325668764,0.1919745727116857,1.3939018912616037,0.6646617064474016
38,-1.85,3.0,0.3948240606051327,8.769513401908314e-05,258613.85416666663,306992.99234042334,697.8541666666666,1132.1239310700123,2.0,0.0,,,1.6795584579663605,1.7441656541315684
39,-1.644,3.0,0.4417973489874284,6.743382913436353e-05,182494.7083333333,246118.48966680776,488.6041666666667,778.0885400470066,2.0,0.0,,,1.57693203450171,1.7553522973701052
40,-1.439,3.0,0.4830855170341362,6.40040286909146e-05,160508.89583333334,194806.80345389657,427.4791666666667,675.4110171665317,2.0,0.0,,,1.5341175548080097,1.3913776230853023
41,-1.233,3.0,0.519733950152057,5.167017468241591e-05,133140.5625,155760.59747900715,332.9166666666667,506.7893025342194,2.0,0.0,,,1.4345048791643384,1.7367488068083332
42,-1.028,3.0,0.5519920317413929,5.14997794829321e-05,103540.89583333331,131256.30348506462,295.7708333333333,475.7235134601456,2.0,0.0,,,1.4156091009664309,1.9237097732027408
43,-0.822,3.0,0.5806698419198413,3.74689027351749e-05,72433.54166666667,109259.97428482962,174.14583333333334,328.97888372920886,2.0,0.0,,,1.0859202768537737,1.3602942256406307
44,-0.617,3.0,0.6059485720501999,2.8658519943895107e-05,42219.72916666666,77903.99824627023,114.10416666666669,241.14242631586745,2.0,0.0,,,0.7929045030931858,1.1892566848758264
45,-0.411,3.0,0.6284883323929609,3.085746756647562e-05,58634.270833333336,83537.0695077722,148.625,250.29281787708385,2.0,0.0,,,1.0693285952758929,1.2634649867159031
46,-0.206,3.0,0.6483826311579078,2.824458054304909e-05,35827.770833333336,66626.31184297559,99.1875,221.9945999199463,2.0,0.0,,,0.7045468280648027,1.0409321989886655
47,0.0,3.0,0.6661427686887652,2.5455472025874265e-05,37863.54166666666,64657.94567550805,97.60416666666669,194.78769015928256,2.0,0.0,,,1.0400719782422534,1.5691232051660235
48,0.206,3.0,0.681933710854555,2.8247675494198434e-05,36757.4375,64223.42195833669,102.4375,211.18237618380545,2.0,0.0,,,0.9311306199386544,1.4610337442794497
49,0.411,3.0,0.6959131942235333,2.485638872977156e-05,38077.583333333336,62503.16885850356,96.5625,182.02442041566724,2.0,0.0,,,1.0226740213484131,1.5132403354857535
50,0.617,3.0,0.7084315126360715,2.12485313985432e-05,33001.479166666664,53788.26469098665,82.72916666666667,152.8795575974946,2.0,0.0,,,0.930197053587443,1.3610529967766227
51,0.822,3.0,0.7195387699086471,1.9733826254796382e-05,18372.9375,38292.70904793827,62.04166666666666,139.79954621016253,2.0,0.0,,,0.6417361694570998,1.0933490977762483
52,1.028,3.0,0.7294988756363548,1.1372286218149984e-05,12158.458333333334,29211.74824137329,26.979166666666668,79.41260138583327,2.0,0.0,,,0.5462436340645903,0.926672923561926
53,1.233,3.0,0.7383533073084658,8.724769590388598e-06,12759.833333333334,27183.607620968567,22.75,60.14928237487764,2.0,0.0,,,0.6747823215252616,1.789478150819344
54,1.439,3.0,0.7463163750787762,1.4946342018413532e-05,17152.6875,32416.25467107923,43.458333333333336,102.00541461083856,2.0,0.0,,,1.5488922274317345,4.122571518836794
55,1.644,3.0,0.7534193166225812,1.1017426651232208e-05,13889.145833333334,32455.715049954026,29.166666666666668,74.53410852310057,2.0,0.0,,,0.7592633107990411,1.8028290078099376
56,1.85,3.0,0.7598114112437213,1.612213422311147e-05,13127.375,31620.46521090819,42.91666666666666,108.16630877777943,2.0,0.0,,,0.4993975569495985,0.8958965383663643
57,-1.85,4.0,0.3948679379789139,9.119840899417658e-05,402439.1666666667,308924.792617214,1199.875,1177.5036454747744,2.0,0.0,2.128976517409255,0.5739329146600972,2.205054190101008,1.50149632327421
58,-1.644,4.0,0.4417191266731048,8.506589376746951e-05,268275.1041666667,252092.00951005708,797.7708333333334,981.7820583994368,2.0,0.0,,,1.7334882369109164,1.4445008715744554
59,-1.439,4.0,0.4828697121896844,5.4080376970359534e-05,146915.35416666666,176509.8081453555,366.3958333333333,570.9684844148891,2.0,0.0,,,1.3021830691260934,1.5492903437105905
60,-1.233,4.0,0.5194479154782276,6.058062069169804e-05,155077.52083333334,167079.32597371028,421.1041666666667,594.591697546123,2.0,0.0,,,1.4892267698921329,1.2946194360484182
61,-1.028,4.0,0.5516385045203746,4.731919601940079e-05,111920.83333333331,130465.30601745028,309.5416666666667,437.362985637415,2.0,0.0,,,1.5586750418560316,1.5694588538952088
62,-0.822,4.0,0.5802647850050578,4.119597704863818e-05,77854.47916666667,110221.40852788943,217.66666666666663,361.9396525067923,2.0,0.0,,,0.9717296421309642,1.1758138415920578
63,-0.617,4.0,0.6055084823855795,3.30130382727007e-05,59790.35416666666,87926.79962223161,155.5,277.9071481245551,2.0,0.0,,,1.0193360556966105,1.1505704060543227
64,-0.411,4.0,0.6280118514475815,3.462133312239817e-05,65995.35416666667,87274.22203033125,177.3125,281.0883223238,2.0,0.0,,,0.959910296416196,0.9240332010979808
65,-0.206,4.0,0.6478678231628408,2.270183102384907e-05,42895.0625,66013.81500719771,100.8125,178.63818850855216,2.0,0.0,,,1.3681392343728918,2.723359624279592
66,0.0,4.0,0.6656184452214483,3.7276609206267816e-05,42722.395833333336,65518.12532705661,141.10416666666666,285.50688329320786,2.0,0.0,,,1.1535882295248872,1.32607184259578
67,0.206,4.0,0.6813766808864896,3.0687827317812015e-05,43756.6875,67764.57764441389,124.6875,229.65155439528428,2.0,0.0,,,1.170122003992293,1.977590318058562
68,0.411,4.0,0.6953493406820136,3.0132775662908675e-05,50575.85416666666,68273.84556671494,141.6875,220.8797840214484,2.0,0.0,,,1.134203365182516,1.6601106787916324
69,0.617,4.0,0.7078501758702921,1.94638950022751e-05,27117.416666666668,50703.70882562497,73.20833333333333,140.22306823503837,2.0,0.0,,,0.9623788380493296,1.6277691713498474
70,0.822,4.0,0.7189478638125565,1.5335969794519448e-05,18582.33333333333,33509.48826592211,55.60416666666666,108.7469715075171,2.0,0.0,,,1.0160916667024298,1.2094130717930982
71,1.028,4.0,0.7289024410916619,1.2579791058544217e-05,20087.375,30107.879808777423,51.97916666666666,87.97230937239317,2.0,0.0,,,0.9778776846476936,1.1762321908840434
72,1.233,4.0,0.7377525315672687,1.608835865713711e-05,20570.875,36028.74710716017,51.958333333333336,111.1223129696116,2.0,0.0,,,1.1575869908351608,2.001331554140312
73,1.439,4.0,0.7457238560531492,2.10608376178435e-05,20909.229166666668,45048.17414168477,60.458333333333336,143.9272804465421,2.0,0.0,,,0.460067723464385,0.747763929305512
74,1.644,4.0,0.7528186857567571,7.937367679442606e-06,10927.625,22540.694432868688,24.854166666666668,53.67870911317389,2.0,0.0,,,0.6831956123415223,1.5141773720217333
75,1.85,4.0,0.759209648713171,1.812968067542465e-05,21096.75,40287.978080949455,64.66666666666667,121.71126162222522,2.0,0.0,,,0.7757475634761848,1.1736604150537056
76,-1.85,5.0,0.3965581343792676,9.15576725127784e-05,378745.4166666667,307583.1724894484,1004.4375,1176.8571544448737,2.0,0.0,2.1284693065925344,0.5636636127908573,2.034361008350486,1.6896811373865397
77,-1.644,5.0,0.4433684357263583,8.224541364513667e-05,314757.3958333333,260322.5598616553,901.8958333333334,945.7146175536308,2.0,0.0,,,1.9277421809934232,1.2603824970579751
78,-1.439,5.0,0.4844683025126386,5.918832053260313e-05,205681.66666666663,179102.54608693506,508.1666666666667,622.8608100149521,2.0,0.0,,,1.6648889032128802,1.4023123238543156
79,-1.233,5.0,0.5209972205569141,5.252456783585032e-05,191348.625,159368.49416803906,461.9791666666667,513.9947217869292,2.0,0.0,,,1.5886382679901443,1.0987578628408254
80,-1.028,5.0,0.5531493139472282,4.97603636458722e-05,153909.8125,140140.68103260823,408.3541666666667,458.5946381172909,2.0,0.0,,,1.6769087747537768,1.52550400824018
81,-0.822,5.0,0.5817527580124544,5.274915774546625e-05,112498.875,133702.9328250753,330.7916666666667,462.3587056550741,2.0,0.0,,,1.2915820891149905,1.108606574658493
82,-0.617,5.0,0.6069499756157403,3.6535761395961337e-05,80515.91666666667,102081.9819104178,209.70833333333331,306.9270450659371,2.0,0.0,,,1.15222414432676,1.3270169030602967
83,-0.411,5.0,0.6294278840702939,3.3485526405815736e-05,73887.60416666667,88936.99212118311,185.1875,271.2468182968608,2.0,0.0,,,1.275282730973289,1.1458177716125828
84,-0.206,5.0,0.6492694172044581,3.613689175760828e-05,72372.5,83082.97257996612,191.5625,283.7815991403218,2.0,0.0,,,1.3907360577833774,1.319042129370421
85,0.0,5.0,0.6669889688490014,3.0328543056572918e-05,53942.91666666666,76056.03778397322,144.875,231.8460260328696,2.0,0.0,,,1.0908496399213763,1.0141775568799103
86,0.206,5.0,0.6827374463182672,2.017262644167477e-05,43701.458333333336,54376.32416346421,92.85416666666669,150.69569020413056,2.0,0.0,,,1.3186326914795097,1.6201010485183749
87,0.411,5.0,0.6966977090513763,3.062416442591433e-05,46876.72916666666,70803.15750434202,129.5,224.08879319154397,2.0,0.0,1.4638716683802429,0.5627384421740138,1.0824809715034789,1.4923508364975793
88,0.617,5.0,0.7091929288365172,2.4673412866919617e-05,31291.4375,50933.66541317778,92.83333333333331,177.3044422687343,2.0,0.0,1.3464970287503435,0.6356419057787381,0.8802520634194991,1.106264507237774
89,0.822,5.0,0.7202717527890065,1.3323932910531449e-05,21674.77083333333,37651.19146329821,47.6875,94.20036505553333,2.0,0.0,,,0.9209851030720348,1.341565659079355
90,1.028,5.0,0.730239149010063,2.161716782911358e-05,35854.375,50336.69362873772,98.6875,150.967821884933,2.0,0.0,,,1.1149732310231968,1.1986842421915782
91,1.233,5.0,0.7390897057430431,2.660222082790216e-05,36516.22916666666,47619.59877686676,101.3125,183.5002645078968,2.0,0.0,,,1.1283191644026611,1.4816451979866567
92,1.439,5.0,0.7470303500341413,2.0506932146091207e-05,26721.666666666668,45104.40122758854,70.5625,139.95104102141835,2.0,0.0,,,1.088294674824126,1.196553226687749
93,1.644,5.0,0.7541278557607559,1.4212536743236673e-05,22249.02083333333,31207.20486743173,53.0,96.0345682443168,2.0,0.0,,,0.8782248245910477,1.2830945880592903
94,1.85,5.0,0.7605251409098898,2.1128198184286885e-05,25247.4375,41793.86816874754,67.83333333333333,141.65140510201758,2.0,0.0,,,1.0926595778611043,1.5428874423367962
95,-1.85,6.0,0.3960494440661553,8.803355537371678e-05,458794.2083333333,293347.5206409814,1280.1041666666667,1133.1839016134525,2.0,0.0,,,2.0951916062543217,1.1500761056044064
96,-1.644,6.0,0.4429171542657231,7.628626261045421e-05,326105.3541666667,238777.85414485328,888.0833333333334,878.0798401476706,2.0,0.0,2.033679178095294,0.4798028897030586,1.854834228184142,1.1725569781581966
97,-1.439,6.0,0.4840637806851239,5.050984601054132e-05,184508.6875,172508.20503547025,408.3333333333333,532.0037727163193,2.0,0.0,,,1.550696874022294,1.3334781689127149
98,-1.233,6.0,0.5206618656713937,5.697568028567961e-05,172289.97916666666,158370.90030086317,458.8958333333333,557.9399509969148,2.0,0.0,1.8447645661735967,0.5408180820914534,1.6205570548005162,1.3604891746918242
99,-1.028,6.0,0.5528453275142884,5.6811063490653885e-05,154300.29166666666,140989.3144552147,417.8541666666667,523.9066422269367,2.0,0.0,,,1.536748192220303,1.104012045707324
100,-0.822,6.0,0.5814770137998585,5.563392664147453e-05,112534.4375,124626.08070167272,324.4375,487.7840866198634,2.0,0.0,,,1.237406090882101,1.0804298081144317
101,-0.617,6.0,0.6066968683439736,3.500764026291878e-05,69281.125,95810.9270141104,183.64583333333331,294.1853149916521,2.0,0.0,,,0.9514606241269394,1.0376552969128747
102,-0.411,6.0,0.6291916114824452,3.513181072862024e-05,77972.375,88586.91015201916,215.45833333333331,284.6754746839369,2.0,0.0,,,1.3685804221517568,2.098311028251899
103,-0.206,6.0,0.6490546118656818,3.528764632677235e-05,71609.58333333333,84232.53252520625,193.20833333333331,277.23382544637514,2.0,0.0,,,1.0690387276103257,1.0144502555796435
104,0.0,6.0,0.6667765341481092,3.689344914505238e-05,70377.60416666667,75235.07262693648,202.79166666666663,282.1026641500704,2.0,0.0,1.5800126745578644,0.509610129291815,1.5188244553252297,2.031496825441887
105,0.206,6.0,0.682526353156581,2.590579994446413e-05,44562.0625,63667.1347651893,122.04166666666669,193.47174826285757,2.0,0.0,,,0.9257912821986308,1.1193369297267748
