,H_Pow,ClusterSize,Mean_FracVaccinated,SD_FracVaccinated,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Contain_Day,Peak_Day,reff,SD_reff,reff30,SD_reff30
0,-1.85,1.0,0.3950713173729466,9.545838886954626e-06,124836.04166666669,87546.32892140736,145.875,123.17702621525672,2.0,0.0,1.6423508598784078,0.3372383035216887,1.6963009883593287,0.9565862766779876
1,-1.644,1.0,0.4421985678048294,9.682357589858975e-06,76629.875,69978.42699357196,98.625,111.59093706050932,2.0,0.0,1.4822027358995242,0.4403775625825862,1.3516326912340872,1.38405276016771
2,-1.439,1.0,0.4835972037196107,8.203745529371854e-06,55198.25,52054.37278890995,75.77083333333333,86.42429711143548,2.0,0.0,1.4129634098885206,0.4459858132248054,1.1347027574761972,0.8511262685669905
3,-1.233,1.0,0.520357805542169,9.646222557915684e-06,43503.85416666666,42310.9404593274,76.35416666666667,94.54425724502882,2.0,0.0,1.4039129589057744,0.381275653256258,1.1665568153384287,1.0192843794084443
4,-1.028,1.0,0.5527205848738901,7.244830568502228e-06,34622.916666666664,35121.61684461782,51.333333333333336,66.84447918237616,2.0,0.0,1.369307137362986,0.3369124848079439,1.0865232466076344,0.7701234017917137
5,-0.822,1.0,0.5814992401585696,5.966526740787803e-06,23127.75,30077.602347219214,37.0625,52.30491871016143,2.0,0.0,1.2574223836837022,0.350908454606141,0.9143573889824202,0.756260559725956
6,-0.617,1.0,0.6068492985821357,6.408816642869772e-06,22078.541666666668,23744.720918292314,35.895833333333336,53.784534510231374,2.0,0.0,1.3242129003861216,0.35151465208698,1.149870386760026,1.312199617028459
7,-0.411,1.0,0.6294628195083788,5.039128136879288e-06,12565.458333333334,18472.17867664929,22.729166666666668,40.75340454820313,2.0,0.0,1.2072776364560416,0.3772168529732688,1.064871846986896,1.1680641711916917
8,-0.206,1.0,0.6494133147405078,4.209253678767404e-06,16943.458333333332,19686.383306751766,25.8125,32.945251974443515,2.0,0.0,1.2118824743760714,0.3899270658979538,1.1023167528464817,0.960237236773906
9,0.0,1.0,0.667232641150027,3.766841123039286e-06,10023.354166666666,17233.047425013032,20.041666666666668,28.708333976675,2.0,0.0,1.038877351524655,0.4232011813226463,0.8524020260147522,1.110425907410095
