,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,0.0,0.0,0.0,0.0,25.500000000000004,25.500000000000004,713.9999999999999
1,0.0,0.0,0.0,0.0,0.0,0.0,739.5
2,0.0,0.0,0.0,0.0,25.500000000000004,25.500000000000004,382.49999999999994
3,0.0,0.0,0.0,0.0,25.500000000000004,25.500000000000004,433.50000000000006
4,0.0,0.0,0.0,0.0,0.0,0.0,255.0
5,0.0,0.0,0.0,0.0,25.500000000000004,51.00000000000001,331.49999999999994
6,0.0,0.0,0.0,25.500000000000004,0.0,0.0,178.49999999999997
7,0.0,0.0,0.0,25.500000000000004,25.500000000000004,0.0,229.50000000000003
8,0.0,0.0,0.0,0.0,0.0,51.00000000000001,178.49999999999997
9,0.0,0.0,0.0,0.0,0.0,0.0,51.00000000000001
10,0.0,0.0,0.0,0.0,0.0,0.0,153.0
11,0.0,0.0,0.0,0.0,0.0,0.0,153.0
12,0.0,0.0,0.0,0.0,0.0,76.5,764.9999999999999
13,0.0,0.0,0.0,0.0,0.0,25.500000000000004,331.49999999999994
14,0.0,25.500000000000004,25.500000000000004,0.0,0.0,76.5,662.9999999999999
15,0.0,0.0,0.0,0.0,0.0,0.0,51.00000000000001
16,0.0,0.0,25.500000000000004,0.0,0.0,0.0,229.50000000000003
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,153.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,51.00000000000001
21,0.0,0.0,0.0,25.500000000000004,25.500000000000004,25.500000000000004,356.99999999999994
22,0.0,0.0,0.0,0.0,0.0,0.0,127.5
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,153.0
25,0.0,0.0,0.0,0.0,0.0,0.0,153.0
26,0.0,0.0,0.0,0.0,25.500000000000004,0.0,510.0
27,0.0,0.0,0.0,0.0,0.0,25.500000000000004,280.5
28,0.0,0.0,0.0,0.0,0.0,0.0,229.50000000000003
29,0.0,0.0,0.0,0.0,25.500000000000004,51.00000000000001,688.5
30,0.0,0.0,0.0,0.0,0.0,0.0,204.00000000000003
31,0.0,0.0,0.0,0.0,0.0,25.500000000000004,255.0
