,January2021 delta  Infections,January2021 delta  Infections and Vaccinated,January2021 delta  Critical,January2021 delta  Critical and Vaccinated,January2021 delta  Dead,January2021 delta  Dead and Vaccinated,April2021 delta  Infections,April2021 delta  Infections and Vaccinated,April2021 delta  Critical,April2021 delta  Critical and Vaccinated,April2021 delta  Dead,April2021 delta  Dead and Vaccinated,April_12_2021 delta  Infections,April_12_2021 delta  Infections and Vaccinated,April_12_2021 delta  Critical,April_12_2021 delta  Critical and Vaccinated,April_12_2021 delta  Dead,April_12_2021 delta  Dead and Vaccinated,LowHesitancy delta  Infections,LowHesitancy delta  Infections and Vaccinated,LowHesitancy delta  Critical,LowHesitancy delta  Critical and Vaccinated,LowHesitancy delta  Dead,LowHesitancy delta  Dead and Vaccinated,January2021 omicron  Infections,January2021 omicron  Infections and Vaccinated,January2021 omicron  Critical,January2021 omicron  Critical and Vaccinated,January2021 omicron  Dead,January2021 omicron  Dead and Vaccinated,April2021 omicron  Infections,April2021 omicron  Infections and Vaccinated,April2021 omicron  Critical,April2021 omicron  Critical and Vaccinated,April2021 omicron  Dead,April2021 omicron  Dead and Vaccinated,April_12_2021 omicron  Infections,April_12_2021 omicron  Infections and Vaccinated,April_12_2021 omicron  Critical,April_12_2021 omicron  Critical and Vaccinated,April_12_2021 omicron  Dead,April_12_2021 omicron  Dead and Vaccinated,LowHesitancy omicron  Infections,LowHesitancy omicron  Infections and Vaccinated,LowHesitancy omicron  Critical,LowHesitancy omicron  Critical and Vaccinated,LowHesitancy omicron  Dead,LowHesitancy omicron  Dead and Vaccinated,January2021 delta NonSpec Infections,January2021 delta NonSpec Infections and Vaccinated,January2021 delta NonSpec Critical,January2021 delta NonSpec Critical and Vaccinated,January2021 delta NonSpec Dead,January2021 delta NonSpec Dead and Vaccinated,April2021 delta NonSpec Infections,April2021 delta NonSpec Infections and Vaccinated,April2021 delta NonSpec Critical,April2021 delta NonSpec Critical and Vaccinated,April2021 delta NonSpec Dead,April2021 delta NonSpec Dead and Vaccinated,April_12_2021 delta NonSpec Infections,April_12_2021 delta NonSpec Infections and Vaccinated,April_12_2021 delta NonSpec Critical,April_12_2021 delta NonSpec Critical and Vaccinated,April_12_2021 delta NonSpec Dead,April_12_2021 delta NonSpec Dead and Vaccinated,LowHesitancy delta NonSpec Infections,LowHesitancy delta NonSpec Infections and Vaccinated,LowHesitancy delta NonSpec Critical,LowHesitancy delta NonSpec Critical and Vaccinated,LowHesitancy delta NonSpec Dead,LowHesitancy delta NonSpec Dead and Vaccinated,January2021 omicron NonSpec Infections,January2021 omicron NonSpec Infections and Vaccinated,January2021 omicron NonSpec Critical,January2021 omicron NonSpec Critical and Vaccinated,January2021 omicron NonSpec Dead,January2021 omicron NonSpec Dead and Vaccinated,April2021 omicron NonSpec Infections,April2021 omicron NonSpec Infections and Vaccinated,April2021 omicron NonSpec Critical,April2021 omicron NonSpec Critical and Vaccinated,April2021 omicron NonSpec Dead,April2021 omicron NonSpec Dead and Vaccinated,April_12_2021 omicron NonSpec Infections,April_12_2021 omicron NonSpec Infections and Vaccinated,April_12_2021 omicron NonSpec Critical,April_12_2021 omicron NonSpec Critical and Vaccinated,April_12_2021 omicron NonSpec Dead,April_12_2021 omicron NonSpec Dead and Vaccinated,LowHesitancy omicron NonSpec Infections,LowHesitancy omicron NonSpec Infections and Vaccinated,LowHesitancy omicron NonSpec Critical,LowHesitancy omicron NonSpec Critical and Vaccinated,LowHesitancy omicron NonSpec Dead,LowHesitancy omicron NonSpec Dead and Vaccinated
0-14,38097.0,662.9999999999999,0.0,0.0,0.0,0.0,25793.25,459.00000000000006,0.0,0.0,0.0,0.0,4296.75,356.99999999999994,0.0,0.0,0.0,0.0,1644.75,153.0,0.0,0.0,0.0,0.0,486973.5,36337.5,0.0,0.0,0.0,0.0,466841.25,38479.5,0.0,0.0,0.0,0.0,425148.75000000006,117351.0,0.0,0.0,0.0,0.0,398437.5,124236.0,0.0,0.0,0.0,0.0,35547.0,612.0,0.0,0.0,0.0,0.0,21560.25,356.99999999999994,0.0,0.0,0.0,0.0,3225.75,255.0,0.0,0.0,0.0,0.0,1644.75,153.0,0.0,0.0,0.0,0.0,486336.0,38760.0,0.0,0.0,0.0,0.0,465375.0,40022.25,0.0,0.0,0.0,0.0,424651.5,121698.75,0.0,0.0,0.0,0.0,396933.0,123713.25,0.0,0.0,0.0,0.0
15-24,5967.0,3162.0,0.0,0.0,0.0,0.0,4029.0,2040.0,0.0,0.0,0.0,0.0,943.5,459.00000000000006,0.0,0.0,0.0,0.0,306.0,204.00000000000003,0.0,0.0,0.0,0.0,226414.49999999997,185589.0,25.500000000000004,0.0,0.0,0.0,218165.25,177225.00000000003,25.500000000000004,25.500000000000004,0.0,0.0,212262.0,172176.0,25.500000000000004,0.0,0.0,0.0,197446.5,177008.25,25.500000000000004,25.500000000000004,0.0,0.0,6400.5,2754.0,0.0,0.0,0.0,0.0,3162.0,1657.5,0.0,0.0,0.0,0.0,675.75,356.99999999999994,0.0,0.0,0.0,0.0,306.0,204.00000000000003,0.0,0.0,0.0,0.0,229984.50000000003,173859.0,25.500000000000004,0.0,0.0,0.0,216928.5,178691.25,25.500000000000004,0.0,0.0,0.0,212007.0,173833.5,25.500000000000004,0.0,0.0,0.0,196324.5,176077.5,25.500000000000004,25.500000000000004,0.0,0.0
25-34,14841.0,4539.0,25.500000000000004,0.0,0.0,0.0,7114.5,3442.5,0.0,0.0,0.0,0.0,1695.75,816.0000000000001,0.0,0.0,0.0,0.0,535.5,356.99999999999994,0.0,0.0,0.0,0.0,474351.0,305031.0,127.5,51.00000000000001,25.500000000000004,25.500000000000004,436725.75,348215.25,102.00000000000001,76.5,25.500000000000004,25.500000000000004,424575.0,338117.25,102.00000000000001,76.5,25.500000000000004,25.500000000000004,392865.75,352040.25,76.5,76.5,25.500000000000004,25.500000000000004,11067.0,4794.0,0.0,0.0,0.0,0.0,5393.25,2868.75,0.0,0.0,0.0,0.0,1224.0,662.9999999999999,0.0,0.0,0.0,0.0,535.5,356.99999999999994,0.0,0.0,0.0,0.0,460657.5,347820.0,102.00000000000001,76.5,25.500000000000004,25.500000000000004,433104.75,356171.25,102.00000000000001,76.5,25.500000000000004,25.500000000000004,423185.25,346876.5,102.00000000000001,76.5,25.500000000000004,25.500000000000004,390672.75,350102.25,76.5,76.5,25.500000000000004,25.500000000000004
35-44,6885.0,2651.9999999999995,25.500000000000004,0.0,0.0,0.0,3735.75,1861.5,0.0,0.0,0.0,0.0,892.5,433.50000000000006,0.0,0.0,0.0,0.0,331.49999999999994,229.50000000000003,0.0,0.0,0.0,0.0,374696.99999999994,261374.99999999997,204.00000000000003,127.5,76.5,51.00000000000001,349987.5,273270.75,178.49999999999997,127.5,76.5,51.00000000000001,337084.5,262917.75,178.49999999999997,127.5,76.5,51.00000000000001,307440.75,275170.5,153.0,127.5,51.00000000000001,51.00000000000001,5711.999999999999,2626.5000000000005,25.500000000000004,0.0,0.0,0.0,2855.9999999999995,1619.25,0.0,0.0,0.0,0.0,688.5,382.49999999999994,0.0,0.0,0.0,0.0,331.49999999999994,229.50000000000003,0.0,0.0,0.0,0.0,369520.5,278511.0,204.00000000000003,153.0,76.5,51.00000000000001,345512.25,283713.0,178.49999999999997,153.0,76.5,51.00000000000001,333807.75,272901.0,178.49999999999997,153.0,76.5,51.00000000000001,306229.5,273984.75,153.0,127.5,51.00000000000001,51.00000000000001
45-54,6808.5,2422.5,76.5,25.500000000000004,25.500000000000004,0.0,3276.75,1759.5,25.500000000000004,0.0,0.0,0.0,816.0000000000001,433.50000000000006,0.0,0.0,0.0,0.0,331.49999999999994,229.50000000000003,0.0,0.0,0.0,0.0,377119.5,253342.49999999997,790.5,484.5,255.0,153.0,347386.5,280041.0,713.9999999999999,535.5,229.50000000000003,178.49999999999997,334942.5,269790.0,688.5,535.5,204.00000000000003,153.0,307568.25,275234.25,612.0,535.5,204.00000000000003,178.49999999999997,5431.5,2448.0,51.00000000000001,25.500000000000004,25.500000000000004,0.0,2562.75,1402.5,25.500000000000004,0.0,0.0,0.0,650.25,356.99999999999994,0.0,0.0,0.0,0.0,331.49999999999994,229.50000000000003,0.0,0.0,0.0,0.0,369316.49999999994,278230.5,764.9999999999999,535.5,229.50000000000003,153.0,345257.25,283662.0,688.5,535.5,204.00000000000003,178.49999999999997,334496.25,273895.5,662.9999999999999,535.5,204.00000000000003,153.0,306535.5,274443.75,612.0,535.5,178.49999999999997,153.0
55-64,4743.0,2805.0,229.50000000000003,76.5,51.00000000000001,25.500000000000004,2983.5,1708.5,153.0,51.00000000000001,25.500000000000004,0.0,816.0000000000001,459.00000000000006,25.500000000000004,0.0,0.0,0.0,306.0,229.50000000000003,0.0,0.0,0.0,0.0,371203.5,314338.5,2983.5,2397.0,662.9999999999999,535.5,355763.25,296093.25,2855.9999999999995,2295.0,637.5,510.0,344377.5,286441.5,2754.0,2193.0,612.0,484.5,319043.25,285918.75,2524.5,2218.5,561.0,484.5,5380.5,2397.0,306.0,76.5,51.00000000000001,0.0,2524.5,1377.0,127.5,51.00000000000001,25.500000000000004,0.0,650.25,382.49999999999994,25.500000000000004,0.0,0.0,0.0,306.0,229.50000000000003,0.0,0.0,0.0,0.0,380103.0,286900.5,3085.5,2218.5,688.5,484.5,356196.75,292854.75,2881.5,2269.5,637.5,510.0,346034.99999999994,283674.75,2754.0,2167.5,612.0,484.5,317717.25,284618.25,2499.0,2193.0,561.0,484.5
65+,6885.0,4615.5,1325.9999999999998,662.9999999999999,586.5,280.5,4143.75,2907.0,764.9999999999999,408.00000000000006,331.49999999999994,178.49999999999997,1071.0,764.9999999999999,178.49999999999997,102.00000000000001,76.5,51.00000000000001,484.5,331.49999999999994,76.5,51.00000000000001,25.500000000000004,25.500000000000004,539707.5,476059.5,17442.0,14968.5,7930.5,6808.5,515546.25,463284.0,16600.5,14560.5,7522.5,6604.5,497581.5,446760.0,16065.0,14101.5,7293.0,6400.5,470742.75,422407.5,15249.0,13413.0,6936.000000000001,6094.500000000001,8466.0,3850.5,1938.0,510.0,841.5,229.50000000000003,4131.0,2295.0,841.5,306.0,356.99999999999994,127.5,969.0,561.0,204.00000000000003,76.5,76.5,25.500000000000004,484.5,331.49999999999994,76.5,51.00000000000001,25.500000000000004,25.500000000000004,557353.5,422586.0,18513.0,13234.5,8415.0,5992.5,524050.5,432416.25,17263.5,13642.5,7866.75,6196.5,509094.75,418480.5,16677.0,13158.0,7599.0,5992.5,469212.75,420941.25,15172.500000000002,13311.0,6885.0,6018.0
