,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage_full,vax_coverage_partial,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_50,r_eff_60,r_eff_74,r_eff_90
mean,5641.92,11.24,4175.025,2500.038,125.69,37.011,1978.004,5.572,28239.081,892.032,4.187,90450.014,178381.0,105407.0,345.164,1.321,300.033,185.231,10.464,3.114,172.278,0.494,0.0,0.0,0.361,5502.205,0.0,0.0,196336.084,3658.344,2191.449,1286.279,98.659,26.844,1966.764,5.572,890.298,4.187,56817.566,105407.0,199994.428,194369.32,1466.895,5.572,0.018292301552111628,0.0017602008455445475,1.6606272888859217,10.309179157374972,0.0,0.0,0.5270496837853057,8.91728761229715,0.4808996293246746,0.001075109557430551,0.0,20.0,0.45,0.65,94.43,0.0,0.0,0.0,3.881736657233456,2.4347664017714292,2.3261264998004227,2.0248944161857434
median,5783.0,10.0,4175.5,2471.5,120.0,35.5,1868.0,5.0,28239.0,876.5,4.0,91285.0,178381.0,105407.0,361.0,1.0,323.0,197.0,10.0,3.0,168.0,0.0,0.0,0.0,0.0,5892.5,0.0,0.0,196092.0,3902.5,2260.0,1310.5,95.0,26.0,1858.0,5.0,875.5,4.0,57476.5,105407.0,199995.0,194227.0,1573.5,5.0,0.019512938984997855,0.0018394325643549987,1.6379227285673803,9.552635330330968,0.0,0.0,0.5270481762044051,8.91488373773888,0.48049139976501465,0.0010914138983935118,0.0,20.0,0.45,0.65,95.0,0.0,0.0,0.0,3.6612471129621946,2.4085642473733877,2.3182827351722297,2.0421625981522293
std,2129.760720439347,7.878735588562067,1803.2127474559366,1107.53592283789,61.78324262345793,19.08200728440281,991.6507132660779,3.7092552587513543,3.567795981858852,373.9108373533593,2.810681577648192,31396.38895926545,0.0,0.0,83.39186595410433,1.3489917637920474,96.79418900959925,63.607527514882676,5.33527592249634,2.2476779253389614,80.8162730270704,0.7283505299610171,0.0,0.0,0.6074932493847549,1549.6757337762165,0.0,0.0,1204.7828138600635,1202.384519276673,840.5040347502393,513.1813444107758,48.30181968399104,13.86347214300443,984.5518425327509,3.7092552587513543,372.8127687681265,2.810681577648192,20502.682225213168,0.0,3.709255258751354,2122.952770568876,393.61927812432043,3.7092552587513543,0.006012283825859422,0.0004309174586309287,0.4490168822439204,2.849861989226742,0.0,0.0,9.775256874532283e-06,0.07430920828477473,0.004107086275937394,0.0004068094072178993,0.0,20.0,0.45,0.65,2.792328777203716,0.0,0.0,0.0,1.565857155626478,0.7361877391664646,0.4093943064422582,0.3344195186450324
