,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,59264.525,0.0,49410.915,30610.567,2266.191,745.59,34252.067,214.497,720095.556,18358.292,190.645,591968.111,0.0,0.0,2485.843,0.0,1932.778,1192.134,84.863,26.73,1260.31,7.062,0.0,0.0,6.18,22442.42,0.0,0.0,5040732.557,24798.869,14938.422,8949.954,1015.035,296.902,34253.197,214.028,18346.324,190.142,304440.573,99491.378,5099784.503,5040731.415,9859.929,34467.08,0.004862830571813437,0.0004934425767666339,1.615064107419813,16.99699688896224,0.0,0.0,0.019509052716225397,0.0,0.0,0.0,0.0,20.0,0.1,0.4,95.708,5.881750799283593,2.5070472583228463,2.5521979715348024,1.0533431139518559,1.4082509008902588,1.548139361425815
median,58899.5,0.0,49368.5,30499.0,2269.0,744.5,34284.0,212.0,720095.0,18343.5,189.0,592074.5,0.0,0.0,2458.0,0.0,1913.0,1170.0,81.0,24.0,1244.0,6.0,0.0,0.0,6.0,22225.0,0.0,0.0,5040965.5,24596.0,14863.0,8912.5,1003.0,291.0,34283.5,211.0,18383.0,185.0,301979.5,98841.0,5099787.0,5041053.0,9751.0,34521.5,0.004823090894445754,0.00048765438501938466,1.608606787823594,16.885710885202148,0.0,0.0,0.0193816265441869,0.0,0.0,0.0,0.0,20.0,0.1,0.4,96.0,5.720207657650175,2.4388024627667684,2.5362135955916596,1.0443152925712325,1.4127067594663612,1.5437105034245233
std,9997.790581417721,0.0,8088.511862878791,4950.620014304979,351.0897927333712,120.83471739913544,5167.453226044176,40.0789510006601,10.08963154256213,2753.934485765391,36.41388397227006,88972.189030548,0.0,0.0,536.8766160412016,0.0,412.9373026646199,262.9174273752457,28.84080482620107,13.808539958148211,273.4492940499507,6.790306639929029,0.0,0.0,6.310421651634812,4616.744725177845,0.0,0.0,10004.916782291173,5043.577868096273,3056.3846176237125,1822.5699545211214,199.4815797904049,69.01600977748282,5165.180282966564,45.83721486157581,2762.2409587395045,42.015439223375175,62736.28973937599,16840.06963757913,40.0789510006601,9998.860280035653,2032.8308210734374,5196.170462280185,0.0009890069546529218,0.00010745580043882463,0.1424988963756566,1.3934349281784513,0.0,0.0,0.003302213199440837,0.0,0.0,0.0,0.0,20.0,0.1,0.4,0.6890108852550879,1.6276997623212013,0.6580446764524541,0.28769777731214213,0.0896524080376248,0.14364456504731962,0.11108873015260744
