,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,3157110.452,0.0,3022490.64,140602.172,252.688,12.92,2651542.889,3.52,720097.694,99135.781,2.89,2738813.767,0.0,0.0,26151.101,0.0,35158.903,2006.121,4.787,0.25,60631.329,0.175,0.0,0.0,0.15,31714.286,0.0,0.0,1942864.471,505587.808,370968.672,18576.422,122.06,5.567,2651529.471,3.514,99140.383,2.884,745617.664,3682032.547,5099996.367,1942878.369,134618.889,2651546.459,0.0991349808643882,0.0133806246521285,0.5687365416904004,30.0,0.0,0.0,0.7219677212413979,0.0,0.0,0.0,0.0,20.0,1.0,0.1,69.738,5.622806864203907,3.170882573167983,3.2915480879227728,2.724913306999938,1.0829206295478302,0.5734116794354002
median,3165985.5,0.0,3034312.5,141163.0,255.0,0.0,2672204.0,0.0,720096.0,99780.0,0.0,2748403.5,0.0,0.0,25232.0,0.0,34195.0,1989.0,0.0,0.0,59465.5,0.0,0.0,0.0,0.0,31059.0,0.0,0.0,1933906.0,493067.5,361475.0,18207.0,127.0,0.0,2672948.0,0.0,99781.0,0.0,738964.5,3681919.0,5100000.0,1933996.0,130763.5,2672204.0,0.09667999999999999,0.013114587013086852,0.5671255089300311,30.0,0.0,0.0,0.7219468048715243,0.0,0.0,0.0,0.0,20.0,1.0,0.1,70.0,5.618414074596457,3.210140828505102,3.2682529572952195,2.741285883076209,1.047702226797731,0.5694354279652605
std,78663.2050850838,0.0,105033.32138735813,6103.357792622088,80.89027068746829,17.738552823053414,179077.1760528229,9.833427494841068,60.425802780282886,5547.374431397354,8.705382454762322,93020.16594533256,0.0,0.0,5209.229970320247,0.0,7300.291000246448,307.0922304406235,10.62000072577283,2.48871326064167,11826.305116792586,2.0853593751974078,0.0,0.0,1.9316395189660083,4879.946674683214,0.0,0.0,78657.49228650733,101963.00021657023,75143.34636930932,2351.6832584478857,55.173603530370634,11.550277915267664,179078.8623883608,9.834252209320061,5541.279704280598,8.705879412002924,125232.44898874582,4364.883808585682,10.08553563421542,78663.30050672582,26977.1919648615,179078.06696159925,0.019992735583128078,0.0021046097521156097,0.02388312066568638,0.0,0.0,0.0,0.0008558504493703768,0.0,0.0,0.0,0.0,20.0,1.0,0.1,3.083075736987335,1.6541041540472408,0.7325891922566284,0.21044366913225332,0.2839098145783541,0.24591592457025932,0.027534302403290835
