,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,14129.111,0.0,12765.201,5216.004,309.053,100.638,10299.332,29.941,720095.498,3403.854,26.632,136034.906,0.0,0.0,321.182,0.0,287.963,117.332,7.648,2.375,257.511,0.766,0.0,0.0,0.676,3163.867,0.0,0.0,5085869.056,3799.867,2434.996,1019.996,130.527,37.617,10298.792,29.841,3403.511,26.516,44919.914,178146.111,5099969.156,5085869.594,1364.429,10329.739,0.0007451630336473867,6.324561550430407e-05,1.176780515918391,28.832813745955708,0.0,0.0,0.034930914257397694,0.0,0.0,0.0,0.0,20.0,0.7,0.7,90.357,3.855290761689315,1.555115065062452,1.8464324874577482,1.368547751604891,1.1076056909154366,1.098285780539182
median,14324.0,0.0,12994.5,5307.0,317.0,101.0,10543.5,30.0,720096.0,3474.5,27.0,138349.5,0.0,0.0,314.0,0.0,279.0,115.0,7.0,2.0,256.0,0.0,0.0,0.0,0.0,3082.0,0.0,0.0,5085665.0,3741.0,2398.0,1008.5,132.0,38.0,10529.5,29.0,3480.0,25.0,44878.0,169149.0,5099969.0,5085677.0,1332.0,10578.5,0.0007335567044663732,6.179154940320586e-05,1.1729016306709596,30.0,0.0,0.0,0.03316677592023069,0.0,0.0,0.0,0.0,20.0,0.7,0.7,94.0,3.6872279286552856,1.5002752612339947,1.8254749198086078,1.3365233366053988,1.0752230050168983,1.0899633282407282
std,2674.6568003537723,0.0,2489.922399625168,1010.1038975609727,72.05497978010341,25.891027428460642,2233.590901237308,10.343815230054794,1.6842900085296573,689.1155846249401,9.462775497713139,25990.030274488578,0.0,0.0,62.986380751398634,0.0,50.42753779005641,22.1806166676167,3.6831591958075425,2.0901540000066365,37.227648015645265,1.0228833219337827,0.0,0.0,0.9369641945677017,575.4253362762441,0.0,0.0,2677.5298962307047,552.5953573275294,332.82182372907937,138.22476648585834,23.763627269021473,9.41461342519946,2231.728617318279,10.813632768577525,690.8185174871205,9.876501875122047,6743.9515620499,32144.704645858055,10.480052265876136,2674.954621183206,234.96269582090562,2242.124114187799,0.00010836876284949542,1.2422347161195767e-05,0.13791504037309918,2.4234990003559536,0.0,0.0,0.006302994446197877,0.0,0.0,0.0,0.0,20.0,0.7,0.7,8.560464414971888,1.1920143551563103,0.5403262902928634,0.3804753202885176,0.23059623398312265,0.160873350460467,0.11087022261514101
