,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,89.089,0.0,89.019,24.305,0.945,0.299,88.703,0.133,720096.0,17.243,0.121,944.68,0.0,0.0,0.008,0.0,0.013,0.005,0.002,0.0,0.029,0.0,0.0,0.0,0.0,0.177,0.0,0.0,5099910.911,0.253,0.183,0.057,0.02,0.006,88.703,0.133,17.243,0.121,2.911,180000.0,5099999.867,5099910.911,0.07,88.836,4.9607845444060434e-08,1.5686979657228406e-09,0.004055921793458452,29.326521793179165,0.0,0.0,0.03529411856747444,0.0,0.0,0.0,0.0,20.0,0.9,0.8,9.278,1.147896484944139,0.6672185974336194,0.5049901594830143,0.17806895213483534,0.0620715046797418,0.029325186799852288
median,78.0,0.0,78.0,22.0,1.0,0.0,78.0,0.0,720096.0,16.0,0.0,879.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5099922.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,16.0,0.0,0.0,180000.0,5100000.0,5099922.0,0.0,78.0,0.0,0.0,0.0,30.0,0.0,0.0,0.03529411764705882,0.0,0.0,0.0,0.0,20.0,0.9,0.8,7.0,1.1103138477060681,0.5828071400884173,0.36410813407331577,0.0,0.0,0.0
std,45.29652143215695,0.0,45.1246370829935,8.611046691612183,1.1468610597148594,0.5691422694923678,44.69185779482828,0.36803049662554654,0.0,6.309180355383475,0.3499735439736574,332.23769425741784,0.0,0.0,0.16722429238589692,0.0,0.1511749114564115,0.07056897321046963,0.04469897088298564,0.0,0.23283731061239563,0.0,0.0,0.0,0.0,2.0326836455294277,0.0,0.0,45.29652143215696,2.8707546450771844,1.819016168102917,0.4023840366029856,0.16008006005004377,0.07726558075864033,44.69185779482828,0.36803049662554654,6.309180355383475,0.3499735439736574,21.25876322870204,0.0,0.36803049662554654,45.29652143215696,1.0827152313846298,44.77474602811145,5.628930748855971e-07,3.279073388839399e-08,0.06585339712909641,2.1297250880397813,0.0,0.0,2.546924488943384e-09,0.0,0.0,0.0,0.0,20.0,0.9,0.8,7.920651235851759,0.4163675263529001,0.4761997562568002,0.601150821966516,0.5332668938721632,0.2832299760457986,0.31301404907390223
