,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,12413.071,0.0,11080.336,4281.008,314.555,101.994,8615.17,28.687,720095.579,2771.876,25.427,109649.626,0.0,0.0,311.901,0.0,284.993,112.075,9.187,2.89,256.761,0.939,0.0,0.0,0.83,2980.565,0.0,0.0,5087586.743,3767.911,2435.966,996.921,146.666,42.345,8615.961,28.659,2771.769,25.433,41241.118,120795.202,5099970.563,5087585.951,1331.553,8644.236,0.0007388806975330971,6.138075569417123e-05,1.1606441682234208,26.655247959776144,0.0,0.0,0.0236855472942375,0.0,0.0,0.0,0.0,20.0,0.45,0.15,91.6,3.6640710810622306,1.41611924776587,1.7047861869968408,1.4792658477928327,1.2543789293213827,1.1175838264963893
median,12650.0,0.0,11272.0,4371.5,319.0,103.5,8766.5,28.0,720096.0,2840.5,25.0,112321.0,0.0,0.0,309.0,0.0,285.0,112.0,9.0,2.0,261.0,1.0,0.0,0.0,1.0,2969.5,0.0,0.0,5087366.5,3783.0,2458.0,1009.0,151.0,43.0,8763.0,28.0,2832.5,25.0,42454.0,127526.5,5099971.0,5087350.0,1325.5,8791.5,0.0007418884042154169,6.083389848453927e-05,1.1476133902418975,27.86917548600307,0.0,0.0,0.025005495431225544,0.0,0.0,0.0,0.0,20.0,0.45,0.15,94.0,3.484466007936227,1.3327045519632776,1.7009255777700427,1.463306804109136,1.2291737554766926,1.1030546646420032
std,3093.733389651611,0.0,2903.702170574558,1135.8605632537626,95.00986185048819,32.82473804049969,2553.3086962602856,11.430646993529749,1.280389939978598,775.2928386162287,10.257869900466417,28866.330961369084,0.0,0.0,59.67431795356544,0.0,52.24619235519098,22.832535989234742,4.00775412083789,2.155120540606614,48.764863281782006,1.1200596115982102,0.0,0.0,1.0402798576259094,602.7059052167841,0.0,0.0,3093.572830208917,637.8905952359625,417.0875266042475,178.03564657239417,36.60456717867783,12.687669287617483,2554.218999258908,11.826012581321464,775.6202243181721,10.692419690548947,9237.704868489429,23605.186803014312,11.693278572058556,3094.2189278349992,232.08161725580092,2563.1128363214357,0.00012510168028652706,1.1777059636753971e-05,0.1463843111735529,3.7847318476182132,0.0,0.0,0.004628569544178327,0.0,0.0,0.0,0.0,20.0,0.45,0.15,7.170076708097341,1.177101488047385,0.5153565083691417,0.35359243035583116,0.20069737486875452,0.1923240728906028,0.13044987864295704
