,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,115.523,0.0,115.158,19.482,0.628,0.202,114.165,0.078,720096.0,14.192,0.072,767.238,0.0,0.0,0.066,0.0,0.089,0.009,0.002,0.0,0.14,0.0,0.0,0.0,0.0,0.427,0.0,0.0,5099884.477,1.28,0.915,0.109,0.027,0.012,114.165,0.078,14.192,0.072,6.374,190000.0,5099999.922,5099884.477,0.365,114.243,2.5098040019223625e-07,1.2941801533021714e-08,0.10498299816864026,30.0,0.0,0.0,0.03725490253056616,0.0,0.0,0.0,0.0,20.0,0.95,0.75,11.195,1.198128431217264,0.722952662486926,0.6822989956929089,0.2996591307425105,0.17417043644477628,0.10093919049753211
median,91.0,0.0,91.0,18.0,0.0,0.0,90.0,0.0,720096.0,13.0,0.0,711.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5099909.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,13.0,0.0,0.0,190000.0,5100000.0,5099909.0,0.0,90.0,0.0,0.0,0.0,30.0,0.0,0.0,0.03725490196078431,0.0,0.0,0.0,0.0,20.0,0.95,0.75,7.0,1.1451831741299254,0.6156553785883725,0.5444907087461699,0.0,0.0,0.0
std,73.67479519107228,0.0,73.00478569747831,6.581564631073146,0.9415426185269058,0.47688931988819316,71.38077465249302,0.28283563424009356,0.0,5.20117180913957,0.2699794230842212,263.8216921355051,0.0,0.0,0.35464033861049954,0.0,0.4574803692928127,0.11371865252425363,0.04469897088298564,0.0,0.6409452479040708,0.0,0.0,0.0,0.0,4.1320388121053195,0.0,0.0,73.67479519107228,4.963893657225166,3.571908948102336,0.4912843986535298,0.1740726897054828,0.10893974420691409,71.38077465249302,0.28283563424009356,5.20117180913957,0.2699794230842212,27.167815779230654,0.0,0.28283563424009356,73.67479519107228,1.5218709180121326,71.437856339047,9.733125395649582e-07,6.954059028573775e-08,0.7025433390768686,0.0,0.0,0.0,2.0660816251845474e-09,0.0,0.0,0.0,0.0,20.0,0.95,0.75,10.584752004652731,0.44842246661921714,0.5133068955547557,0.8526914360452902,0.627401597974649,0.5062737969752107,0.4552526371898602
