,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,1364.967,0.0,1273.795,840.776,61.715,20.415,1083.82,6.96,720096.0,558.028,6.201,25808.856,0.0,0.0,21.472,0.0,19.789,12.986,1.072,0.367,18.167,0.154,0.0,0.0,0.143,417.848,0.0,0.0,5098635.033,274.187,183.015,118.519,17.474,5.117,1083.82,6.96,558.028,6.201,4905.16,40000.0,5099993.04,5098635.033,91.172,1090.78,5.376225222101134e-05,4.211730444182016e-06,1.0383357071170016,29.518474978081425,0.0,0.0,0.007843147958498126,0.0,0.0,0.0,0.0,20.0,0.2,1.0,58.194,3.2885887798306555,1.1388146935393915,1.133736816349945,1.0599967709164795,1.038821248818764,0.9959018094618802
median,1264.5,0.0,1172.0,775.0,57.0,19.0,1000.5,6.0,720096.0,514.5,6.0,24100.5,0.0,0.0,19.0,0.0,18.0,12.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,5098735.5,257.0,167.0,109.0,16.0,4.0,1000.5,6.0,514.5,6.0,4552.0,40000.0,5099994.0,5098735.5,86.0,1007.5,5.039224579025511e-05,3.7269477424650008e-06,1.0301393526646692,30.0,0.0,0.0,0.007843146482133117,0.0,0.0,0.0,0.0,20.0,0.2,1.0,69.0,3.1661347467322116,1.0943868313616518,1.1037204272221999,1.0495775424908622,1.0195729163622866,1.0124333928746077
std,778.4867600329158,0.0,720.998575533212,474.4780893584879,35.7378646531934,12.382976746853446,601.4766344104663,4.478220009608109,0.0,311.07617009279187,4.103832408912484,13887.437652778997,0.0,0.0,16.662498457760016,0.0,14.833290447689127,10.2893962736244,1.2603191676731749,0.6698953349290915,13.798170186676945,0.3826622929299808,0.0,0.0,0.36971298014498716,304.0924219659166,0.0,0.0,778.4867600329158,197.44981757768596,131.99436839611107,85.8946769860306,12.845401057511918,4.21320092828031,601.4766344104663,4.478220009608109,311.07617009279187,4.103832408912484,3487.6404732240494,0.0,4.478220009608109,778.4867600329158,67.36606417627945,605.116396615935,3.871574333964736e-05,3.2687952672083945e-06,0.547039789033986,1.7273885692636102,0.0,0.0,6.886944483632663e-09,0.0,0.0,0.0,0.0,20.0,0.2,1.0,33.297182523450836,1.0555986307399683,0.4742604398508134,0.4284542747632476,0.42001789244084,0.4544329594118799,0.45910230015867093
