,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,1451.471,0.0,1351.744,844.165,61.586,20.179,1146.014,6.871,720096.0,559.5,6.151,25874.051,0.0,0.0,23.592,0.0,21.625,13.777,1.148,0.377,20.206,0.148,0.0,0.0,0.133,427.06,0.0,0.0,5098548.529,298.586,198.859,123.303,18.22,5.274,1146.014,6.871,559.5,6.151,5101.852,50000.0,5099993.129,5098548.529,99.727,1152.885,5.85463777641289e-05,4.627668322756196e-06,1.1025691185254054,29.531407870393704,0.0,0.0,0.009803934777034434,0.0,0.0,0.0,0.0,20.0,0.25,0.85,59.505,3.248364575149387,1.1145072415067123,1.1488440706036371,1.0716079471347773,1.044998016552217,1.0147929516788385
median,1359.5,0.0,1267.0,789.0,56.0,18.0,1062.5,6.0,720096.0,518.0,6.0,24082.5,0.0,0.0,22.0,0.0,19.0,12.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,5098640.5,282.0,184.0,113.0,16.0,4.0,1062.5,6.0,518.0,6.0,4735.5,50000.0,5099994.0,5098640.5,92.0,1071.0,5.5294182583717076e-05,4.314756801694836e-06,1.0981940044784757,30.0,0.0,0.0,0.009803933102666395,0.0,0.0,0.0,0.0,20.0,0.25,0.85,72.0,3.1299823649948886,1.0653425713251705,1.0879296660820634,1.0544492301761126,1.0523302179565492,1.0301570004597624
std,847.6795442670353,0.0,785.5401911142776,488.1307339108944,37.04549868706012,12.531560118317232,653.8825477027126,4.542575700414248,0.0,319.48342940074633,4.160710337251382,14261.216074175207,0.0,0.0,17.19544181517937,0.0,16.497046024289546,10.680324917358101,1.3137053786225517,0.6995429653426303,15.250119020195552,0.40281293208915014,0.0,0.0,0.37610165175448573,318.6028659415765,0.0,0.0,847.6795442670355,213.351957248256,143.69678453216997,89.34767035125873,14.107679703857281,4.554521672762977,653.8825477027126,4.542575700414248,319.48342940074633,4.160710337251382,3630.539041496156,0.0,4.542575700414249,847.6795442670355,71.41603966702243,657.5268887158793,4.183381561310137e-05,3.373439572401384e-06,0.5959878413414478,1.7010772097842495,0.0,0.0,8.732394044329343e-09,0.0,0.0,0.0,0.0,20.0,0.25,0.85,33.05861423290456,1.028134310284186,0.45439284392492035,0.4619296110799723,0.4535796733837986,0.44387271577515974,0.4417205910745546
