,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,6154.45,0.0,5560.029,2953.814,215.855,70.621,4378.682,21.305,720095.996,1907.761,18.959,78818.382,0.0,0.0,138.973,0.0,128.625,70.466,5.9,1.915,118.215,0.66,0.0,0.0,0.604,1877.162,0.0,0.0,5093845.561,1754.432,1159.995,627.792,90.668,26.19,4378.696,21.313,1907.803,18.965,23150.455,50124.809,5099978.683,5093845.547,594.431,4399.992,0.00034400847286778175,2.7284861455965198e-05,1.1420117949497508,27.189264445632045,0.0,0.0,0.00982843624553373,0.0,0.0,0.0,0.0,20.0,0.25,0.3,87.387,3.689222920904875,1.361536693671126,1.500218863811434,1.3737315741521847,1.2366645592955392,1.1298678662651098
median,6333.5,0.0,5689.5,3018.0,217.0,70.0,4434.0,21.0,720096.0,1948.5,18.0,81388.5,0.0,0.0,141.0,0.0,132.0,72.0,6.0,2.0,122.0,0.0,0.0,0.0,0.0,1941.5,0.0,0.0,5093666.5,1826.5,1217.0,661.0,92.5,26.0,4434.0,21.0,1948.5,18.0,24268.0,50000.0,5099979.0,5093666.5,612.0,4453.0,0.00035813834333282753,2.768799091917614e-05,1.1284505778118328,29.861919279623624,0.0,0.0,0.009803961937882489,0.0,0.0,0.0,0.0,20.0,0.25,0.3,91.0,3.5436218921165086,1.2971894629057297,1.4754213451991414,1.3542160758861,1.22085161480354,1.108535717269957
std,1984.787890044795,0.0,1893.1957580602534,1019.4930963854428,83.20374293166046,28.410288690956722,1646.634654245003,10.099404585071982,0.07739502561528092,686.9665500735242,9.14893556770524,26107.404070711193,0.0,0.0,32.58346134088509,0.0,31.903859190248934,18.770220168265613,2.925843563924866,1.5258122764950814,34.901617410915186,0.8655340254138766,0.0,0.0,0.8196681376361141,475.2458862614261,0.0,0.0,1984.762501778857,422.55469450219795,296.3467502291384,167.3691105167114,31.206980816023385,9.850834428561823,1646.6783417368267,10.13932132032696,687.0932843307177,9.190007139890112,6359.360314495837,1088.0556666148345,10.128627750100213,1984.7963967438893,134.08422658470616,1655.521535798158,8.285519986425521e-05,6.401137540331758e-06,0.217611025995184,3.800481625947356,0.0,0.0,0.0002133614925246667,0.0,0.0,0.0,0.0,20.0,0.25,0.3,11.147969815172626,1.1464466821619936,0.5074141669394248,0.38249571829163276,0.262016096266895,0.2277848772025986,0.20083463994931533
