,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,7445.027,0.0,6736.397,3499.413,259.246,84.857,5315.716,25.258,720095.968,2265.177,22.419,91306.536,0.0,0.0,164.229,0.0,153.948,82.364,7.098,2.326,143.252,0.85,0.0,0.0,0.766,2168.499,0.0,0.0,5092554.905,2103.981,1395.523,743.315,110.278,32.178,5315.704,25.281,2265.499,22.441,27466.6,50856.275,5099974.675,5092554.922,708.419,5341.011,0.0004125541911671106,3.225706235646898e-05,1.1203591857319601,27.402392726056036,0.0,0.0,0.009971876368381993,0.0,0.0,0.0,0.0,20.0,0.25,0.2,86.443,3.78296002866682,1.3745902683374338,1.5773272453083453,1.38677359751591,1.2454383993778617,1.1164169717758095
median,7738.0,0.0,6987.5,3618.0,265.0,85.0,5495.5,25.0,720096.0,2356.0,22.0,95354.5,0.0,0.0,165.0,0.0,156.0,84.0,7.0,2.0,147.0,1.0,0.0,0.0,1.0,2232.0,0.0,0.0,5092262.0,2168.5,1437.5,771.5,114.0,33.0,5495.5,25.0,2356.0,22.0,28404.5,50000.0,5099975.0,5092262.0,720.0,5521.0,0.0004251982876138762,3.2408397681707815e-05,1.1006552605296203,30.0,0.0,0.0,0.009803969627302095,0.0,0.0,0.0,0.0,20.0,0.25,0.2,90.0,3.6488838023294523,1.3089078600434754,1.5696572377517253,1.368132496046453,1.2089311524752449,1.0820115465452196
std,2189.0654576437064,0.0,2107.0533346705174,1112.1775970763115,93.32619816141265,32.1615751778099,1869.8806852633998,11.34372584806756,0.25503145108209896,758.861344522971,10.25937101842475,27891.036216030192,0.0,0.0,32.84374019916535,0.0,32.08882966063096,18.460560562894514,3.2482221209373825,1.6038379894167292,36.459289293344376,0.9625104812034135,0.0,0.0,0.9132787515748289,456.0857553303054,0.0,0.0,2189.155269223215,421.60914946655737,299.8048538990345,167.020884175455,34.3134394680587,11.455983395394547,1869.9191131901598,11.407022361648949,759.3843787132006,10.32546048048871,6847.666174254849,2859.2807371275576,11.446151728392797,2189.153349197425,131.86827776869492,1879.9433565676661,8.267416470911451e-05,6.458711508817525e-06,0.17527535690398285,3.9906331132847646,0.0,0.0,0.000560683111481294,0.0,0.0,0.0,0.0,20.0,0.25,0.2,10.056577499328487,1.1829009324676418,0.5066052287928304,0.3770758338253412,0.20995358600536762,0.21502073358373422,0.18325186350586914
