,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,3131.697,0.0,2862.236,1800.097,132.484,43.427,2316.935,13.898,720096.0,1172.07,12.555,51265.199,0.0,0.0,63.415,0.0,57.94,36.83,3.133,0.994,53.14,0.377,0.0,0.0,0.346,1070.102,0.0,0.0,5096868.303,800.864,531.403,331.065,47.735,13.689,2316.935,13.898,1172.07,12.555,12784.13,30000.0,5099986.102,5096868.303,269.461,2330.833,0.0001570326522085775,1.2443152432744925e-05,1.1697290597060037,28.65079268630834,0.0,0.0,0.005882368971221935,0.0,0.0,0.0,0.0,20.0,0.15,0.75,81.517,3.6119078325101763,1.290755613436046,1.3496174325256607,1.2407730197697893,1.1690084245624257,1.1346525367936424
median,3222.0,0.0,2932.5,1828.5,132.0,42.0,2331.5,13.0,720096.0,1186.0,12.0,52678.5,0.0,0.0,65.0,0.0,60.0,37.0,3.0,1.0,54.0,0.0,0.0,0.0,0.0,1114.5,0.0,0.0,5096778.0,850.0,557.0,341.0,48.0,13.0,2331.5,13.0,1186.0,12.0,13356.0,30000.0,5099987.0,5096778.0,285.0,2348.5,0.00016666727124402475,1.2757435237953462e-05,1.1391104560489578,30.0,0.0,0.0,0.005882367935447679,0.0,0.0,0.0,0.0,20.0,0.15,0.75,89.0,3.4750022168692807,1.2289708549431961,1.3262570352746066,1.2170638519678274,1.1581397506157036,1.1056654620943607
std,1405.0781593295173,0.0,1309.7446405033797,826.4868045099262,64.34407434957708,21.82088040895284,1095.0936338239949,7.68339967921952,0.0,543.7128035210434,7.026403443109807,22420.505121502112,0.0,0.0,28.192829063622025,0.0,26.003857417710176,17.25366015629115,2.282218113923277,1.139852298880545,26.12034978082554,0.6366131292050741,0.0,0.0,0.6120936682066388,480.195809656448,0.0,0.0,1405.0781593295173,351.28072485072624,239.59470405919495,151.61290594223252,24.412020025424393,7.699971984921021,1095.0936338239949,7.68339967921952,543.7128035210434,7.026403443109807,5838.746453584815,0.0,7.683399679219521,1405.0781593295173,115.50161514932206,1101.622855621209,6.887888926700479e-05,5.5336592271881706e-06,0.34108554811208525,2.7655089656235865,0.0,0.0,8.862107643745815e-09,0.0,0.0,0.0,0.0,20.0,0.15,0.75,20.281067797332565,1.1013746803068825,0.4843721852418544,0.4206423907014181,0.32874906240442614,0.2782224019935003,0.2715179567673198
