,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,869.685,0.0,811.817,236.124,11.993,3.942,706.076,1.261,720096.0,160.489,1.124,8342.847,0.0,0.0,13.298,0.0,12.483,3.643,0.221,0.072,11.719,0.026,0.0,0.0,0.025,129.959,0.0,0.0,5099130.315,162.348,104.48,31.443,3.397,0.973,706.076,1.261,160.489,1.124,1550.663,141062.0,5099998.739,5099130.315,57.868,707.337,3.183295308024631e-05,2.608152270129776e-06,0.9411501813142631,29.41983184288948,0.0,0.0,0.02765922252515484,0.0,0.0,0.0,0.0,20.0,0.8,0.6,51.401,2.2780375931302537,1.0157014758987997,1.0649592144153381,1.032886948432886,1.0073192558069488,0.9111928577868343
median,743.0,0.0,699.5,203.5,10.0,3.0,604.5,1.0,720096.0,139.0,1.0,7328.5,0.0,0.0,10.0,0.0,9.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,90.5,0.0,0.0,5099257.0,130.0,84.5,24.0,2.0,0.0,604.5,1.0,139.0,1.0,1209.5,141062.0,5099999.0,5099257.0,47.5,606.0,2.5490206074590618e-05,1.9610444405029146e-06,0.9734197977897743,30.0,0.0,0.0,0.0276592211096512,0.0,0.0,0.0,0.0,20.0,0.8,0.6,59.0,2.1803072748558288,0.9235219543466706,1.0344978455673295,1.0207696046725023,1.0148123616977074,0.960355492388619
std,607.8034590390382,0.0,560.5387079891576,158.69994422272586,8.916527096098315,3.4211606715178315,473.69147536961003,1.4300083649838988,0.0,106.24465071148195,1.3192287005536094,5411.024222152745,0.0,0.0,12.832843717503843,0.0,11.749713475943436,3.8681408342398176,0.49639239055953044,0.2699794230842212,11.108890423730285,0.15921478998305827,0.0,0.0,0.15620307103062794,133.0184544648908,0.0,0.0,607.8034590390383,147.85368987485435,95.59203647499847,28.986703503157788,3.5173516689069864,1.3137720491002225,473.69147536961003,1.4300083649838988,106.24465071148195,1.3192287005536094,1418.636849917181,0.0,1.4300083649838988,607.8034590390383,53.36345410704066,474.54615738248947,2.8990934299958646e-05,2.5171463206804363e-06,0.6963594480724878,2.0797822749122723,0.0,0.0,7.755479658341928e-09,0.0,0.0,0.0,0.0,20.0,0.8,0.6,35.12124996351924,0.7656920861929969,0.5451570308025817,0.4673370318042904,0.5757517108865071,0.610959216238767,0.5409474376363763
