,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,693.242,0.0,652.03,138.246,5.373,1.771,578.155,0.621,720096.0,95.956,0.553,5203.672,0.0,0.0,9.432,0.0,8.947,1.862,0.071,0.029,8.387,0.011,0.0,0.0,0.01,71.425,0.0,0.0,5099306.758,114.466,73.254,15.728,1.349,0.354,578.155,0.621,95.956,0.553,853.907,158695.0,5099999.379,5099306.758,41.212,578.776,2.2444318175588236e-05,1.8498430172180141e-06,0.8717391418882213,29.662895656033896,0.0,0.0,0.03111667045557953,0.0,0.0,0.0,0.0,20.0,0.9,0.6,43.111,2.035673216989941,1.0457862357382852,0.9902010650393624,0.9454513723534332,0.9096866986527596,0.8755068823474221
median,594.5,0.0,562.0,121.0,4.0,1.0,498.5,0.0,720096.0,84.0,0.0,4571.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,5099405.5,78.0,49.0,10.0,1.0,0.0,498.5,0.0,84.0,0.0,568.0,158695.0,5100000.0,5099405.5,27.0,499.5,1.5294117647058822e-05,1.1765814406631954e-06,0.9076595448038443,30.0,0.0,0.0,0.031116666666666667,0.0,0.0,0.0,0.0,20.0,0.9,0.6,36.0,1.9427114110535535,0.9280482320503112,0.9697953469111975,0.9579366718213309,0.9202824045750693,0.918110691436479
std,517.8922762948351,0.0,478.65581003941077,96.56165718150056,4.512231291858965,1.8077131483802475,408.4761066509334,0.907845352019375,0.0,65.66223871902018,0.8401767057571264,3514.4060135453965,0.0,0.0,10.538901481864437,0.0,10.087514507991992,2.444367184146222,0.2793510999388351,0.1737503645728238,9.257155390611413,0.10435463521037237,0.0,0.0,0.0995485304256668,89.38465187598479,0.0,0.0,517.8922762948351,121.36037732796147,77.918218233817,16.997497784407294,1.7788657519226578,0.6686786456371484,408.4761066509334,0.907845352019375,65.66223871902018,0.8401767057571264,918.5470456247878,0.0,0.9078453520193751,517.8922762948351,44.33861712964184,408.88845617551203,2.3796158981554704e-05,2.0671123721443273e-06,0.771962751015082,1.376651340454998,0.0,0.0,5.539046415403273e-09,0.0,0.0,0.0,0.0,20.0,0.9,0.6,34.20170579079353,0.6919982822170921,0.5893532547476594,0.4911683791174936,0.5681636816430128,1.1683542478988416,0.6235702160619665
