,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage_full,vax_coverage_partial,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_50,r_eff_60,r_eff_74,r_eff_90
mean,9046.368,22.863,7094.155,4395.113,238.792,69.939,3439.876,9.516,28238.957,1499.299,6.827,131985.39,162519.0,94090.0,420.806,2.321,441.412,289.611,19.659,6.016,310.703,1.003,0.0,0.0,0.678,7161.212,0.0,0.0,194393.508,5596.976,3644.763,2234.241,193.315,52.839,3417.013,9.516,1495.55,6.827,88127.582,94090.0,199990.484,190976.495,1952.213,9.516,0.027986274120487282,0.002165164467772599,1.2277922586565266,14.128689864127415,0.0,0.0,0.47047238540904585,8.240548802946275,0.43842393508553507,0.0013094018550837063,0.0,20.0,0.4,0.55,91.244,0.0,0.0,0.0,4.3939198628126,2.8199476726343864,2.6754182770816195,1.8563196736691798
median,9521.0,22.0,7346.5,4542.0,238.0,69.0,3376.5,9.0,28239.0,1521.0,6.0,137080.5,162519.0,94090.0,429.5,2.0,454.5,299.0,20.0,6.0,324.0,1.0,0.0,0.0,0.0,7333.5,0.0,0.0,194132.5,5861.0,3879.5,2372.5,194.0,52.0,3350.5,9.0,1515.5,6.0,92756.5,94090.0,199991.0,190499.5,2005.5,9.0,0.029306831804332314,0.002207894762087168,1.1015264332375114,12.872341425196975,0.0,0.0,0.4704711712027041,8.24079904309811,0.4381732642650604,0.0013762201415374875,0.0,20.0,0.4,0.55,92.0,0.0,0.0,0.0,4.257916381593514,2.8123375161829323,2.659418382517176,1.832978033488569
std,2279.187767485482,11.98481818247014,2271.0602814053123,1474.1086569732788,97.00464234580032,30.149631494916807,1492.4726353240758,5.322976430351545,3.558625410859482,521.1272831509057,3.8178065229456886,34571.18877274921,0.0,0.0,87.96727007589018,1.6878411678258733,82.17535546041188,58.25349043746776,7.176923242394837,3.0369338101063326,108.60730333332717,1.1010010005459592,0.0,0.0,0.8928119136263322,1086.7213287233772,0.0,0.0,1031.465183300125,1029.0219286067493,879.928125665578,582.0353649780099,76.36198614446803,22.44185187803617,1481.4808079132229,5.322976430351545,519.1553291219842,3.8178065229456886,22756.72194268878,0.0,5.322976430351545,2268.665507552879,337.0159037053746,5.322976430351545,0.0051455820208279246,0.0004536125749618709,0.501767292895336,5.6500489759197885,0.0,0.0,1.2522400944102094e-05,0.07292903187862715,0.006296913331933358,0.00033635934710151295,0.0,20.0,0.4,0.55,3.9510079726571044,0.0,0.0,0.0,1.623339570561792,0.7549816166811816,0.3417777848271405,0.4813713963969377
