,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
0,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
1,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
2,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
3,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
4,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
5,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
6,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
7,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
8,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
9,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
10,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
11,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
12,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
13,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
14,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
15,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
16,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
17,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
18,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
19,0.0,0.0,90340924.26300049,0.0,0.0,0.0,0.14128505281134168
20,0.0,0.0,361363697.05200195,0.0,0.0,0.0,0.14128505281134168
21,200.0,0.0,542045545.5780029,0.0,0.0,0.0,0.14128505281134168
22,0.0,0.0,361363697.05200195,0.0,0.0,0.0,0.14128505281134168
23,0.0,0.0,90340924.26300049,0.0,0.0,0.0,0.14128505281134168
24,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
25,0.0,0.0,0.0,0.0,0.0,0.0,0.14128505281134168
26,0.0,0.0,0.023773927312505775,0.0,0.0,0.023773927312505775,0.14128505281134168
27,0.0,0.0,0.0950957092500231,0.0,0.0,0.0950957092500231,0.14128505281134168
28,10.0,0.0,0.14264356387503466,20.0,0.0,0.14264356387503466,0.14128505281134168
29,0.0,0.0,0.0950957092500231,40.0,0.0,0.0950957092500231,0.14128505281134168
30,0.0,0.0,0.023773927312505775,40.0,0.0,0.023773927312505775,0.14128505281134168
31,0.0,0.0,0.0,50.0,0.0,0.0,0.14128505281134168
32,0.0,0.0,0.06452923069458277,50.0,0.0,0.06452923069458277,0.14128505281134168
33,0.0,0.0,0.2581169227783311,50.0,0.0,0.2581169227783311,0.14128505281134168
34,10.0,0.0,0.38717538416749664,50.0,0.0,0.38717538416749664,0.14128505281134168
35,0.0,0.0,0.2581169227783311,50.0,0.0,0.2581169227783311,0.14128505281134168
36,0.0,0.0,0.06452923069458277,60.0,0.0,0.06452923069458277,0.14128505281134168
37,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
38,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
39,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
40,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
41,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
42,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
43,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
44,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
45,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
46,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
47,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
48,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
49,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
50,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
51,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
52,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
53,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
54,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
55,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
56,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
57,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
58,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
59,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
60,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
61,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
62,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
63,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
64,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
65,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
66,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
67,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
68,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
69,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
70,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
71,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
72,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
73,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
74,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
75,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
76,0.0,0.0,0.0,60.0,0.0,0.0,0.14128505281134168
