,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
0,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
1,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
2,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
3,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
4,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
5,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
6,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
7,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
8,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
9,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
10,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
11,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
12,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
13,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
14,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
15,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
16,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
17,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
18,0.0,0.0,0.0,0.0,0.0,0.0,2.6403513429367003
19,0.0,0.0,310351538.6581421,0.0,0.0,0.0,2.6403513429367003
20,0.0,0.0,1241406154.6325684,0.0,0.0,0.0,2.6403513429367003
21,510.0,0.0,1862109231.9488525,0.0,0.0,0.0,2.6403513429367003
22,0.0,0.0,1241406155.1193943,0.0,0.0,0.0,2.6403513429367003
23,0.0,0.0,310351541.41682243,0.0,0.0,0.0,2.6403513429367003
24,102.0,0.0,6.962235084710388,25.5,0.0,6.962235084710388,2.6403513429367003
25,408.0,0.0,10.190824000301372,51.0,0.0,10.190824000301372,2.6403513429367003
26,433.5,0.0,9.620478839550113,51.0,0.0,9.620478839550113,2.6403513429367003
27,153.0,0.0,6.714058990687832,153.0,0.0,6.714058990687832,2.6403513429367003
28,433.5,0.0,4.7131431028843185,204.0,0.0,4.7131431028843185,2.6403513429367003
29,306.0,0.0,4.322115584941065,229.5,0.0,4.322115584941065,2.6403513429367003
30,637.5,0.0,4.504390784425785,280.5,0.0,4.504390784425785,2.6403513429367003
31,663.0,0.0,4.649028244419437,357.0,0.0,4.649028244419437,2.6403513429367003
32,561.0,0.0,5.131380288473077,459.0,0.0,5.131380288473077,2.6403513429367003
33,1657.5,0.0,6.065820487069293,688.5,0.0,6.065820487069293,2.6403513429367003
34,1734.0,0.0,6.4428097216625275,816.0,0.0,6.4428097216625275,2.6403513429367003
35,1861.5,0.0,5.895404141284271,943.5,0.0,5.895404141284271,2.6403513429367003
36,1810.5,0.0,5.222003133489152,1147.5,0.0,5.222003133489152,2.6403513429367003
37,2499.0,0.0,4.905389219263508,1326.0,25.5,4.905389219263508,2.6403513429367003
38,2856.0,0.0,4.7932818596444555,1606.5,25.5,4.7932818596444555,2.6403513429367003
39,3672.0,0.0,4.671385060532576,1912.5,25.5,4.671385060532576,2.6403513429367003
40,3952.5,0.0,4.584094297192313,2550.0,25.5,4.584094297192313,2.6403513429367003
41,4794.0,0.0,4.745287705682447,3111.0,25.5,4.745287705682447,2.6403513429367003
42,7599.0,0.0,5.080120382114817,3646.5,25.5,5.080120382114817,2.6403513429367003
43,8185.5,0.0,5.229914613561814,4513.5,25.5,5.229914613561814,2.6403513429367003
44,10786.5,0.0,5.077148281719403,5380.5,25.5,5.077148281719403,2.6403513429367003
45,10302.0,0.0,4.826669267660244,6604.5,25.5,4.826669267660244,2.6403513429367003
46,13489.5,0.0,4.681673545531675,7930.5,25.5,4.681673545531675,2.6403513429367003
47,16218.0,0.0,4.636080672722332,9333.0,51.0,4.636080672722332,2.6403513429367003
48,19558.5,0.0,4.617280827975506,10990.5,51.0,4.617280827975506,2.6403513429367003
49,24046.5,0.0,4.604532439319833,13005.0,76.5,4.604532439319833,2.6403513429367003
50,29274.0,0.0,4.5383689834676755,15376.5,76.5,4.5383689834676755,2.6403513429367003
