,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.168745,0.166265,1e-05,1e-05,0.0,0.0,0.0,0.0
18-24,0.077295,0.064775,2.5e-05,1e-05,0.0,0.0,0.0,0.0
25-34,0.162405,0.13414,5.5e-05,1e-05,0.0,0.0,0.0,0.0
35-44,0.13634,0.115465,1.5e-05,1.5e-05,0.0,0.0,0.0,0.0
45-54,0.13799,0.119625,1.5e-05,1e-05,0.0,0.0,0.0,0.0
55-64,0.13486,0.12406,3e-05,2e-05,0.0,0.0,0.0,0.0
65+,0.182365,0.182345,2.5e-05,2.5e-05,5e-06,5e-06,5e-06,5e-06
