,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
0,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
1,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
2,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
3,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
4,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
5,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
6,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
7,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
8,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
9,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
10,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
11,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
12,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
13,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
14,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
15,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
16,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
17,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
18,0.0,0.0,0.0,0.0,0.0,0.0,0.6516939337255289
19,0.0,0.0,276008555.88912964,0.0,0.0,0.0,0.6516939337255289
20,0.0,0.0,1104034223.5565186,0.0,0.0,0.0,0.6516939337255289
21,510.0,0.0,1656051335.3347778,0.0,0.0,0.0,0.6516939337255289
22,0.0,0.0,1104034223.633832,0.0,0.0,0.0,0.6516939337255289
23,0.0,0.0,276008556.198383,0.0,0.0,0.0,0.6516939337255289
24,25.5,0.0,0.6442776716229248,0.0,0.0,0.6442776716229248,0.6516939337255289
25,0.0,0.0,1.1030033749975177,0.0,0.0,1.1030033749975177,0.6516939337255289
26,102.0,0.0,1.4483362082506948,0.0,0.0,1.4483362082506948,0.6516939337255289
27,51.0,0.0,1.2086649143496975,51.0,0.0,1.2086649143496975,0.6516939337255289
28,0.0,0.0,0.7347108302193344,51.0,0.0,0.7347108302193344,0.6516939337255289
29,51.0,0.0,0.6194436977578675,76.5,0.0,0.6194436977578675,0.6516939337255289
30,51.0,0.0,0.6147580420221677,102.0,0.0,0.6147580420221677,0.6516939337255289
31,25.5,0.0,0.4055435101991464,102.0,0.0,0.4055435101991464,0.6516939337255289
32,0.0,0.0,0.18235010519177602,127.5,0.0,0.18235010519177602,0.6516939337255289
33,0.0,0.0,0.22721525951411065,127.5,0.0,0.22721525951411065,0.6516939337255289
34,25.5,0.0,0.5051136960222806,127.5,0.0,0.5051136960222806,0.6516939337255289
35,76.5,0.0,0.6411636647496735,153.0,0.0,0.6411636647496735,0.6516939337255289
36,0.0,0.0,0.4900805502725913,204.0,0.0,0.4900805502725913,0.6516939337255289
37,25.5,0.0,0.32922589102455846,204.0,0.0,0.32922589102455846,0.6516939337255289
38,0.0,0.0,0.43596122517708374,204.0,0.0,0.43596122517708374,0.6516939337255289
39,25.5,0.0,0.920780173191154,204.0,0.0,0.920780173191154,0.6516939337255289
40,51.0,0.0,1.443181985190518,204.0,0.0,1.443181985190518,0.6516939337255289
41,51.0,0.0,1.3379499651351108,229.5,0.0,1.3379499651351108,0.6516939337255289
42,0.0,0.0,0.6614584096292537,280.5,0.0,0.6614584096292537,0.6516939337255289
43,0.0,0.0,0.2555634764878618,306.0,0.0,0.2555634764878618,0.6516939337255289
44,0.0,0.0,0.4810606617629246,306.0,25.5,0.4810606617629246,0.6516939337255289
45,51.0,0.0,0.721590992644387,306.0,25.5,0.721590992644387,0.6516939337255289
46,0.0,0.0,0.4810606617629246,306.0,25.5,0.4810606617629246,0.6516939337255289
47,0.0,0.0,0.12026516544073115,331.5,25.5,0.12026516544073115,0.6516939337255289
48,0.0,0.0,0.0,331.5,25.5,0.0,0.6516939337255289
49,0.0,0.0,0.0,331.5,25.5,0.0,0.6516939337255289
50,0.0,0.0,0.0,331.5,25.5,0.0,0.6516939337255289
51,0.0,0.0,0.0,357.0,25.5,0.0,0.6516939337255289
52,0.0,0.0,0.0,408.0,25.5,0.0,0.6516939337255289
53,0.0,0.0,0.1803977465890031,408.0,25.5,0.1803977465890031,0.6516939337255289
54,0.0,0.0,0.7215909863560124,408.0,25.5,0.7215909863560124,0.6516939337255289
55,25.5,0.0,1.0823864795340186,382.5,25.5,1.0823864795340186,0.6516939337255289
56,0.0,0.0,0.7215909863560124,382.5,25.5,0.7215909863560124,0.6516939337255289
57,0.0,0.0,0.1803977465890031,382.5,25.5,0.1803977465890031,0.6516939337255289
58,0.0,0.0,0.0,382.5,25.5,0.0,0.6516939337255289
59,0.0,0.0,0.0,382.5,25.5,0.0,0.6516939337255289
60,0.0,25.5,0.0,382.5,0.0,0.0,0.6516939337255289
61,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
62,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
63,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
64,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
65,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
66,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
67,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
68,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
69,0.0,0.0,0.0,382.5,0.0,0.0,0.6516939337255289
