,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.170125,0.0,0.126735,0.0,0.0,0.0,5e-06,0.0
18-24,0.077605,0.0,0.068475,0.0,0.0,0.0,5e-06,0.0
25-34,0.161085,0.0,0.14023,0.0,1.5e-05,0.0,3e-05,0.0
35-44,0.135535,0.0,0.113645,0.0,4e-05,0.0,8.5e-05,0.0
45-54,0.13833,0.0,0.117145,0.0,7e-05,0.0,0.00027,0.0
55-64,0.134975,0.0,0.116825,0.0,0.000235,0.0,0.00116,0.0
65+,0.182345,5e-06,0.16283,0.0,0.00297,0.0,0.00675,0.0
