,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.169245,0.01285,0.00526,5e-06,0.0,0.0,0.0,0.0
18-24,0.07697,0.06581,0.00041,3e-05,0.0,0.0,0.0,0.0
25-34,0.161495,0.11337,0.00145,5.5e-05,5e-06,0.0,5e-06,0.0
35-44,0.138135,0.10402,0.000515,1e-05,0.0,0.0,0.0,0.0
45-54,0.138695,0.10125,0.00058,3.5e-05,1.5e-05,0.0,2e-05,0.0
55-64,0.13309,0.11699,0.000185,2.5e-05,0.0,0.0,5e-06,0.0
65+,0.18237,0.165235,0.00025,5e-05,4e-05,0.0,7.5e-05,0.0
