,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.16902,0.16655,3e-05,2e-05,0.0,0.0,0.0,0.0
18-24,0.077825,0.06522,3e-05,5e-06,0.0,0.0,0.0,0.0
25-34,0.16025,0.13236,9.5e-05,3e-05,0.0,0.0,5e-06,0.0
35-44,0.138295,0.11713,2e-05,0.0,0.0,0.0,0.0,0.0
45-54,0.13797,0.119575,3.5e-05,1.5e-05,0.0,0.0,0.0,0.0
55-64,0.134465,0.12371,3.5e-05,5e-06,0.0,0.0,0.0,0.0
65+,0.182175,0.18216,3e-05,3e-05,0.0,0.0,0.0,0.0
