,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.170165,0.0,0.103725,0.0,5e-06,0.0,2.5e-05,0.0
18-24,0.07776,0.0,0.059475,0.0,2.5e-05,0.0,6e-05,0.0
25-34,0.162325,0.0,0.12114,0.0,9e-05,0.0,0.000275,0.0
35-44,0.138,0.0,0.09721,0.0,0.000175,0.0,0.000535,0.0
45-54,0.136515,0.0,0.095915,0.0,0.000575,0.0,0.001915,0.0
55-64,0.133235,0.0,0.097585,0.0,0.00175,0.0,0.00747,0.0
65+,0.182,5e-06,0.140505,5e-06,0.019145,0.0,0.042615,0.0
