,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.170125,0.16026,3.5e-05,3.5e-05,0.0,0.0,0.0,0.0
18-24,0.077605,0.077605,5e-06,5e-06,0.0,0.0,0.0,0.0
25-34,0.161085,0.161085,0.0,0.0,0.0,0.0,0.0,0.0
35-44,0.135535,0.135535,2e-05,2e-05,0.0,0.0,0.0,0.0
45-54,0.13833,0.13833,1e-05,1e-05,0.0,0.0,0.0,0.0
55-64,0.134975,0.134975,5e-06,5e-06,0.0,0.0,0.0,0.0
65+,0.182345,0.182345,3e-05,3e-05,0.0,0.0,0.0,0.0
