,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.16865,0.012495,0.021475,2e-05,0.0,0.0,0.0,0.0
18-24,0.077345,0.06613,0.00163,8e-05,0.0,0.0,0.0,0.0
25-34,0.15893,0.11157,0.005515,0.000135,5e-06,0.0,5e-06,0.0
35-44,0.13699,0.103155,0.002555,9.5e-05,5e-06,0.0,5e-06,0.0
45-54,0.13821,0.100895,0.00263,0.000115,0.0,0.0,5e-06,0.0
55-64,0.134435,0.11817,0.0013,0.000165,5e-06,0.0,5e-06,0.0
65+,0.18544,0.168015,0.001525,0.000215,4e-05,1e-05,9.5e-05,1.5e-05
