,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.16905,0.01368,0.08987,0.007475,0.0,0.0,1e-05,0.0
18-24,0.07668,0.06518,0.042045,0.03414,0.0,0.0,0.0,0.0
25-34,0.159035,0.133275,0.084125,0.067165,5e-06,5e-06,2e-05,1.5e-05
35-44,0.137755,0.11379,0.0662,0.051875,1.5e-05,1.5e-05,3e-05,2.5e-05
45-54,0.137375,0.11636,0.06615,0.05341,6.5e-05,4e-05,0.00016,0.00012
55-64,0.135115,0.117145,0.067395,0.05619,7.5e-05,6.5e-05,0.000435,0.000375
65+,0.18499,0.1702,0.097395,0.087665,0.00135,0.001205,0.00314,0.002745
