,Size_per_age,Vaccinated,Infected,Infected_Vaccinated,Dead,Dead_Vaccinated,Critical,Critical_Vaccinated
0-17,0.167575,0.165085,1e-05,1e-05,0.0,0.0,0.0,0.0
18-24,0.07806,0.065415,2e-05,2e-05,0.0,0.0,0.0,0.0
25-34,0.161045,0.13301,2e-05,1.5e-05,0.0,0.0,0.0,0.0
35-44,0.137535,0.116465,1e-05,1e-05,0.0,0.0,0.0,0.0
45-54,0.13905,0.12055,1e-05,1e-05,0.0,0.0,0.0,0.0
55-64,0.133865,0.123145,1.5e-05,1e-05,0.0,0.0,0.0,0.0
65+,0.18287,0.182855,2e-05,2e-05,0.0,0.0,0.0,0.0
