,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Mean_reff,SD_reff,Mean_r_eff_val,SD_r_eff_val,Mean_Suppresion_Day,SD_Suppresion_Day,Mean_Critical,SD_Critical
0,510.0,0.0,0.0,0.0,1881276254.8344848,48467554.80567379,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.0,0.0
1,0.255,2.53721796462188,0.0,0.0,1254184170.6208858,32311703.22935392,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.0,0.0
2,10.71,23.421163506538292,0.0,0.0,313546044.35853,8077925.797771757,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.0,0.0
3,45.135,55.96712673525416,0.0,0.0,2.7227270155779677,2.462664355963636,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.0,0.0
4,91.8,75.21419413913839,0.0,0.0,2.9442131568199024,1.97254869209989,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.0,0.0
5,116.535,81.54061120079982,0.0,0.0,2.7921565338239147,1.5129183386034797,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.255,2.53721796462188
6,126.735,81.4767897931675,0.0,0.0,2.4757981254734833,1.2324456223727935,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,0.255,2.53721796462188
7,116.28,80.17874780763293,0.0,0.0,2.1006812059724105,1.0813183444441408,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,1.02,4.996959075277685
8,105.57,74.4337967592679,0.0,0.0,1.8111481929021647,1.02669141772722,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,2.04,7.801499855796968
9,123.675,119.29940014518094,0.0,0.0,1.704982942661853,1.1078549756708798,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,3.57,9.55484693754954
10,147.135,143.88215412274025,0.0,0.0,1.7181996656170844,1.1870832103769386,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,5.355,12.11987933108247
11,154.02,132.3506501684068,0.0,0.0,1.7227968616011793,1.1548727486499364,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,6.885,13.42327363201688
12,163.2,156.52929438287262,0.0,0.0,1.6938669500973382,1.0459698310897345,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,8.415,15.3233571713251
13,163.71,153.85525957860526,0.255,2.53721796462188,1.6926380893218202,0.9654383767078011,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,11.475,17.8044060558054
14,199.92,182.23920708782728,0.0,0.0,1.7290583993736428,0.9170173421683665,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,13.005,18.56252878785646
15,204.51,200.43000000000004,0.0,0.0,1.7596974653923692,0.8852042902857639,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,16.83,19.824507560088332
16,218.535,197.43176359188004,0.51,3.5699999999999976,1.7712983416140884,0.8910671437556237,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,19.89,18.938793520179672
17,233.07,215.29068744374428,0.765,4.349974137854159,1.7682230367538003,0.9106219022284084,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,21.42,20.62822338447982
18,244.545,241.59403029669423,0.765,4.349974137854158,1.7529023448561427,0.9222863663526643,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,23.97,23.59818001456892
19,255.0,244.24155051915307,0.255,2.5372179646218793,1.7442032993281726,0.9157823078577898,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,27.03,24.937904883931218
20,270.81,254.61159419790758,0.0,0.0,1.7611136916362335,0.9138152023229333,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,28.815,25.918589371337312
21,315.435,272.92517889524225,1.53,6.055914464389338,1.7850770596575822,0.8970830290787147,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,28.305,26.961351505442007
22,327.675,314.31012849572636,1.02,4.996959075277683,1.7890241393637103,0.8329371704478761,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,29.325,26.346572357709082
23,341.955,285.55662393823053,1.02,4.996959075277686,1.783382603888611,0.8501895157002791,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,30.6,27.933850432763478
24,381.99,335.3803585483205,0.765,4.349974137854159,1.7797239054089544,0.8548635691506481,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,30.6,27.46434051638598
25,399.585,340.3281435247458,1.02,4.9969590752776805,1.7685991494837694,0.8201312697346965,1.6580441236126038,0.248690852187716,443.23,153.90684552676657,32.13,26.406970670639218
