,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Mean_reff,SD_reff,Mean_r_eff_val,SD_r_eff_val,Mean_Suppresion_Day,SD_Suppresion_Day,Mean_Critical,SD_Critical
0,510.0,0.0,0.0,0.0,1929524514.166508,26837259.41007811,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.0,0.0
1,0.0,0.0,0.0,0.0,1286349676.7013242,17891506.24432432,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.0,0.0
2,5.865,17.97885633181378,0.0,0.0,321587420.7367537,4472876.544356546,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.0,0.0
3,43.605,49.616342821695355,0.0,0.0,2.6671834256804465,2.4828758222284857,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.0,0.0
4,83.64,62.57431901347389,0.0,0.0,2.9623323697029043,1.885282167246771,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.0,0.0
5,113.475,76.53186836214049,0.0,0.0,2.8223438060405357,1.4740518921810675,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.0,0.0
6,131.58,83.93490692197138,0.0,0.0,2.5260110627591454,1.2718926667002612,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,0.255,2.53721796462188
7,103.785,74.62878985351429,0.0,0.0,2.1725969072231655,1.1019977146606652,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,1.02,4.996959075277685
8,112.71,74.18528088509203,0.0,0.0,1.940038425963328,0.9577580736606844,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,2.295,7.297634890839636
9,136.17,102.45924116447478,0.0,0.0,1.8728439056190331,0.8882439449925524,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,3.825,9.79346082853247
10,141.525,105.28597663031863,0.0,0.0,1.8335890894483262,0.8190361147584001,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,4.845,11.228689816715036
11,146.37,105.54782375776394,0.0,0.0,1.7656761107863002,0.7547831642194606,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,7.65,13.732170258192978
12,138.72,99.8298131822353,0.255,2.53721796462188,1.7184153084584783,0.7308406476790987,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,9.435,13.805371237311945
13,168.3,139.20290945235305,0.0,0.0,1.7150384294896515,0.7671137275156538,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,11.475,16.278110301874722
14,163.71,124.72498105832689,0.0,0.0,1.7187588649811638,0.816900871758064,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,15.3,18.38831150486635
15,182.07,124.9250179107452,0.0,0.0,1.6917419837802248,0.8019231117624177,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,19.38,20.117544581782337
16,181.305,148.5096443837908,0.255,2.53721796462188,1.6421947490530564,0.7253914409584461,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,20.91,21.145020690460438
17,195.84,158.75178550177006,0.51,3.569999999999996,1.6129982177207252,0.6441784652968549,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,24.225,22.046810993882993
18,214.965,161.60865160937388,1.02,4.996959075277678,1.6136668117009973,0.640864649225611,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,26.775,22.339804721617423
19,221.595,179.75944613566207,1.02,4.996959075277684,1.6203841625289643,0.6917228170942604,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,28.05,24.32544963613211
20,231.54,181.23594676553546,0.765,4.349974137854158,1.6274462642502547,0.7145972087105229,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,31.62,26.77378568674964
21,264.69,221.65294696890444,0.0,0.0,1.6304790521594268,0.7003365974933491,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,36.21,29.777187577069807
22,249.135,187.03359130113503,1.02,4.996959075277682,1.6298209214574408,0.7158535574295555,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,39.27,33.329972997288806
23,288.405,254.63496121899675,0.255,2.5372179646218807,1.6336402106666452,0.7390684597725089,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,41.055,33.227390433195325
24,303.705,277.02660607782786,0.51,3.5699999999999963,1.63311404705529,0.7208138117048559,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,44.37,34.1395386612063
25,310.845,262.3080030708175,0.51,3.5699999999999963,1.6259041880715879,0.7019435581920876,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,48.195,39.156410394723366
26,331.755,268.76794354051975,1.02,4.996959075277685,1.623803840119549,0.6463320805356254,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,49.215,40.681092352590554
27,336.6,280.2912859865607,1.53,6.055914464389341,1.6334082819348867,0.6237819001947964,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,51.0,42.210010660979464
28,389.385,326.71570864438087,1.275,5.557596153014363,1.6528658759207142,0.6363465947004595,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,54.825,43.63034351228512
29,387.345,300.4608850998746,1.02,4.996959075277686,1.678025582941429,0.6136714205075792,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,56.355,45.37208916283226
30,444.975,374.0490166742857,1.275,5.557596153014361,1.6984383087089763,0.5670466764146647,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,59.67,45.93115609256966
31,472.77,416.0240402909427,1.53,6.055914464389341,1.6892272328517757,0.556196336293024,1.6751764465459171,0.18280158481205386,460.68,133.37052747889993,63.495,48.85030680558722
