,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Mean_reff,SD_reff,Mean_r_eff_val,SD_r_eff_val,Mean_Suppresion_Day,SD_Suppresion_Day,Mean_Critical,SD_Critical
0,509.745,2.53721796462188,0.0,0.0,1851302791.4302154,50381226.30894174,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.0,0.0
1,0.0,0.0,0.0,0.0,1234201861.5661874,33587484.177126125,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.0,0.0
2,8.925,22.04681099388298,0.0,0.0,308550466.8859422,8396870.963817665,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.0,0.0
3,41.31,48.888228644531615,0.0,0.0,2.4336084892735474,2.2439110172020933,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.0,0.0
4,82.62,62.161447859585735,0.0,0.0,2.59785330974111,1.5925856723457794,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.255,2.53721796462188
5,98.94,67.10716355203816,0.0,0.0,2.3573616204948102,1.157743998424699,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.255,2.53721796462188
6,102.255,61.675744624609145,0.0,0.0,2.0307077862026413,0.9638488262486197,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.51,3.5699999999999976
7,93.84,71.57100949406818,0.0,0.0,1.7842722266642983,0.8838856360123772,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,0.765,4.349974137854158
8,113.22,86.19754404854005,0.0,0.0,1.6517665130524606,0.8665693190110618,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,1.53,6.055914464389342
9,112.965,88.8670426817501,0.0,0.0,1.5854276720753482,0.861641521124646,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,1.785,6.506248919308271
10,122.145,99.6325823965233,0.0,0.0,1.550201947729649,0.8632206835336366,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,2.805,8.75582520382859
11,123.42,95.86914832207492,0.0,0.0,1.5339082856916915,0.8627593321737268,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,4.08,10.019910179238124
12,130.815,99.65607495280958,0.0,0.0,1.5186358760520533,0.8565853677154839,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,6.12,12.025622645002633
13,124.44,108.02373072616962,0.0,0.0,1.5128228190002786,0.8530377011514165,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,7.395,12.6450177935818
14,145.095,123.38917486959706,0.0,0.0,1.5355743196894105,0.8315460133625907,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,10.965,14.980029205578996
15,149.94,126.28448598303751,0.0,0.0,1.5840904767863209,0.8211474402856602,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,12.495,17.48005935344614
16,169.575,131.63410224937905,0.255,2.53721796462188,1.634633752606951,0.8371808426826415,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,15.045,19.114797278548362
17,188.19,155.7288152526692,0.0,0.0,1.6351568334727327,0.8329484017674872,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,16.575,20.199798885137433
18,180.285,148.3940068702237,0.255,2.5372179646218798,1.5850405042618803,0.7941317762000696,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,18.615,21.290591231809422
19,175.185,145.40166187152056,0.255,2.53721796462188,1.567263968250796,0.7663462660583235,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,19.89,22.399395081117692
20,222.615,190.171026381518,0.255,2.5372179646218798,1.5837110027090389,0.8003148135379735,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,24.48,24.169911046588485
21,209.355,205.84976675964424,1.275,5.557596153014357,1.5570808266438314,0.8240241893954957,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,24.48,23.348867210209576
22,225.675,206.95492715806506,0.0,0.0,1.4962902247201781,0.8089723175570981,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,26.775,25.84824703920945
23,235.62,216.46841709588955,1.02,4.996959075277678,1.4493232680798358,0.7639409043631507,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,26.265,25.102933593506574
24,252.96,250.95627786528877,0.765,4.349974137854157,1.4236515011194468,0.7007513865681279,1.583650107206968,0.2106103966297424,456.98,136.8743935146381,26.52,25.479591833465463
