,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,13032.406,0.0,11979.74,7669.477,607.467,201.601,9834.194,64.147,720095.533,5044.731,57.271,179809.746,0.0,0.0,250.872,0.0,222.337,144.361,12.724,4.21,206.692,1.486,0.0,0.0,1.355,3533.321,0.0,0.0,5086965.776,3134.144,2081.623,1332.181,225.009,66.189,9833.183,64.423,5044.066,57.584,51500.161,24605.5,5099934.993,5086966.803,1052.061,9898.771,0.0006146292678686347,4.940445238739871e-05,1.1665831130525182,29.793773424817125,0.0,0.0,0.004824755645098449,0.0,0.0,0.0,0.0,20.0,0.1,0.6,81.504,4.581309906111127,1.7612784155174315,1.9040390089875967,1.2926289551818408,1.0251035325078575,1.039241464921472
median,13073.5,0.0,12063.0,7748.5,616.5,204.0,10056.0,65.0,720096.0,5129.0,58.0,182869.0,0.0,0.0,243.5,0.0,218.0,143.0,12.0,4.0,204.0,1.0,0.0,0.0,1.0,3461.5,0.0,0.0,5086936.0,3090.0,2062.0,1321.0,226.0,66.0,10055.5,64.0,5124.5,58.0,51284.0,25171.0,5099934.0,5086922.0,1029.0,10115.5,0.0006059379923231777,4.801224937186658e-05,1.1537292621153215,30.0,0.0,0.0,0.004935593845459,0.0,0.0,0.0,0.0,20.0,0.1,0.6,87.0,4.426846023937868,1.7092231418124342,1.8924648016068484,1.268397791446827,0.9933545628789577,1.0263982214361302
std,1932.1740402162754,0.0,1824.0043893621562,1183.1794052365753,108.45393107751404,39.161734390096164,1707.0019859813121,16.655533548877916,1.4024542337908492,815.8027437780262,15.10044974769237,26870.902785429225,0.0,0.0,47.83151126056409,0.0,35.67060166051061,23.650074101469638,4.624414472039591,2.5989718456833377,28.492436802684235,1.4642226428886926,0.0,0.0,1.3823479612188407,554.6930072493174,0.0,0.0,1934.2043305235918,388.279959038051,238.56920617954265,147.62426346018518,26.84562546499162,11.309074859340802,1705.503402332099,17.435540400832693,816.0185438505107,15.899047887333497,6231.40844466829,3705.655886553627,16.822364368391945,1932.3369064713097,169.59120984726025,1721.2259047475943,7.613918357870661e-05,9.426930162081747e-06,0.16533559681316615,1.078946624072216,0.0,0.0,0.0007266384598553884,0.0,0.0,0.0,0.0,20.0,0.1,0.6,14.640764460915284,1.3565796767129905,0.5579313857272565,0.3483901163659592,0.22153546375460767,0.15736993283923412,0.11717956188907858
