,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,761931.776,0.0,588971.92,135812.225,8170.225,2535.341,324934.811,479.867,720094.611,60988.94,386.76,2160823.043,0.0,0.0,39963.458,0.0,36379.581,8638.487,595.533,186.549,24488.999,37.374,0.0,0.0,28.191,105802.486,0.0,0.0,4338106.453,436477.119,263523.576,63768.648,5919.269,1675.15,324981.142,483.476,60965.618,389.756,1226035.425,3110492.619,5099519.133,4338060.409,172953.274,325415.186,0.08559211610552307,0.00923507857561359,1.3414871138177107,12.320093870020683,0.0,0.0,0.6099580125774668,0.0,0.0,0.0,0.0,20.0,0.7,0.3,94.848,4.942971135254524,2.241106585884131,2.774294771438614,1.8744239462725505,2.0085198073430712,1.6906835361922898
median,771806.0,0.0,592624.5,136914.5,8204.5,2546.5,324549.5,466.5,720093.0,61581.0,380.0,2190872.5,0.0,0.0,40341.0,0.0,37255.0,8797.0,586.0,178.0,24760.0,25.0,0.0,0.0,25.0,107176.0,0.0,0.0,4328606.0,447002.0,267941.0,64846.0,5941.0,1683.0,324691.0,459.0,61544.0,382.0,1244654.5,3110566.0,5099532.5,4328175.0,176434.0,325085.0,0.08765450983576903,0.009404164334201888,1.3144875481280118,12.184914733591416,0.0,0.0,0.6099745815129975,0.0,0.0,0.0,0.0,20.0,0.7,0.3,96.0,4.7827572650653405,2.1827989070452536,2.7625230087588797,1.8713870075663128,2.003583435074485,1.6798252455009997
std,140947.7857894361,0.0,127920.8302333877,30183.80056439026,2089.17889153031,685.2950445005546,84317.08885678255,166.24508034145774,42.757173139192155,12296.023360374642,133.78224130312694,366294.1500321961,0.0,0.0,2981.7849818378777,0.0,4625.63484152458,1248.4280453495971,178.64519869847615,78.04954407509585,5545.089741856686,33.203924837654725,0.0,0.0,27.839963767623377,8950.052235200463,0.0,0.0,140995.73949514778,59518.17475944247,44968.06845835275,11727.999142990846,1508.1331095480648,468.7824575349343,84267.67104335391,173.01433866990732,12295.40714588008,140.03265193378152,157093.98103331416,3354.6877535417157,166.24508034145776,140947.5086503286,15793.445497978635,84444.72637012407,0.011673047361782998,0.0008738785904393979,0.1937662109812716,1.8819800772578652,0.0,0.0,0.000658625595879514,0.0,0.0,0.0,0.0,20.0,0.7,0.3,1.68964374943359,1.467895957202037,0.6036294918401937,0.2535039057272477,0.08251302006399613,0.09004365769226869,0.1772013363123369
