,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,531617.42,0.0,393356.582,54529.942,3108.752,960.364,210542.211,178.495,720094.682,28368.832,151.001,1155133.85,0.0,0.0,33414.728,0.0,27417.141,3891.081,232.468,73.932,16287.423,13.66,0.0,0.0,11.464,69567.799,0.0,0.0,4568346.082,320931.434,182636.473,26772.321,2271.773,641.908,210519.038,177.452,28389.081,150.154,716438.316,3495874.882,5099820.506,4568369.522,138294.713,210721.232,0.06293017201883257,0.007363874321736646,1.590333268067393,10.225066707731582,0.0,0.0,0.68548990044904,0.0,0.0,0.0,0.0,20.0,0.8,0.15,95.729,4.28385225461907,1.9629325659367232,2.4898926190626818,1.9038433076348313,1.9325522197893756,1.8389832878899037
median,541707.5,0.0,395963.5,54766.0,3086.0,937.5,208769.0,170.0,720092.0,28576.5,142.0,1170801.0,0.0,0.0,34922.0,0.0,28279.5,4003.0,229.0,76.0,16320.0,0.0,0.0,0.0,0.0,71744.0,0.0,0.0,4558605.0,331818.5,186876.5,27170.0,2244.0,612.0,208819.0,178.0,28598.0,153.0,706044.0,3520887.0,5099829.0,4558297.0,143730.5,208912.0,0.0650657617426249,0.0076670926390337325,1.56979215468583,10.095984117192941,0.0,0.0,0.6903986951569792,0.0,0.0,0.0,0.0,20.0,0.8,0.15,96.0,4.182676038361282,1.8782905630266673,2.477626001194597,1.896163715573755,1.92810231688051,1.853012117585731
std,151735.52827436393,0.0,123836.78325720015,17467.107080349408,1086.586527054692,349.21797304362315,72358.70967411029,85.21847313325418,36.3778259688814,8665.596489237789,74.71304463102838,311376.2125111732,0.0,0.0,6248.67368782151,0.0,6822.9484006547345,1058.449894240449,109.31111515255846,47.238361940681635,5438.052379644274,19.56837554119711,0.0,0.0,18.43644777625578,14800.76117190825,0.0,0.0,151766.0432459046,80902.9286781656,52198.99611646605,8021.253442745202,805.4681722125633,247.33299243154994,72328.39264187138,89.64049930201814,8658.245172892306,79.83190726405964,127014.9965032589,166536.44846554642,85.21876672542382,151736.12175411792,29173.225500666595,72419.81821794983,0.015864535933365755,0.001563192205389371,0.21103917636595063,1.2982938171023486,0.0,0.0,0.0326571947247579,0.0,0.0,0.0,0.0,20.0,0.8,0.15,0.6719813985520731,1.3830211068299791,0.6188392687325593,0.26838960680616447,0.09258149438074968,0.08237950122750097,0.13426306559959436
