,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,7980.118,0.0,7260.402,3968.421,296.488,97.105,5777.88,29.198,720095.947,2577.492,26.06,102259.495,0.0,0.0,166.42,0.0,157.239,88.032,7.717,2.556,150.062,0.965,0.0,0.0,0.862,2300.585,0.0,0.0,5092019.676,2173.032,1453.256,809.928,123.987,36.135,5777.799,29.206,2577.573,26.075,30198.575,71906.331,5099970.691,5092019.756,719.706,5807.124,0.00042609773307421815,3.2693428487576435e-05,1.090133550834332,27.947668509762757,0.0,0.0,0.014099373632955948,0.0,0.0,0.0,0.0,20.0,0.35,0.65,84.304,3.9477437348368727,1.4231681427398053,1.5924761305629467,1.3913078523036928,1.2227221652087055,1.072091027738746
median,8278.5,0.0,7540.5,4119.5,305.0,99.0,5938.5,29.0,720096.0,2666.5,26.0,106136.5,0.0,0.0,167.0,0.0,159.0,89.0,8.0,2.0,154.0,1.0,0.0,0.0,1.0,2327.5,0.0,0.0,5091721.5,2213.0,1479.0,830.0,128.0,37.0,5938.5,29.0,2666.5,26.0,30522.0,70000.0,5099971.0,5091721.5,728.5,5974.5,0.00043392412112309856,3.280262161892192e-05,1.0797165988105082,30.0,0.0,0.0,0.013725568243427267,0.0,0.0,0.0,0.0,20.0,0.35,0.65,88.0,3.7588120487928403,1.3631129157084811,1.5781282741780442,1.3676924404182265,1.195922480213913,1.0507579026677734
std,2115.7768582224803,0.0,2058.8125790444433,1142.712554293835,97.81069874399626,33.94195090195952,1873.8396320300644,12.215810330142737,0.3260326629301078,786.9051516248028,11.148124536471625,28460.911588465002,0.0,0.0,29.966708254387964,0.0,29.27132879952138,18.126984403467766,3.203306443687861,1.7669142554142196,33.06193048276593,1.0241210005774826,0.0,0.0,0.9559654124861787,429.13695168127657,0.0,0.0,2116.085232152461,375.0564441684909,267.7136026372904,155.36001271095967,33.547045104378945,11.22143910983327,1873.7258628754123,12.295639338673967,787.1322098521866,11.234125715006957,6626.11000302192,4933.512236574206,12.355167711090335,2115.951105660418,119.53127326892024,1884.6078906567077,7.354603158790374e-05,5.893908996490113e-06,0.1785204846113862,3.584712818290064,0.0,0.0,0.0009674080905285523,0.0,0.0,0.0,0.0,20.0,0.35,0.65,11.599033752860622,1.254426207778163,0.508399417820638,0.4114699640935816,0.23814175189808798,0.21471142354086745,0.16994998712620307
