,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,new_infections,new_reinfections,new_infectious,new_symptomatic,new_severe,new_critical,new_recoveries,new_deaths,new_tests,new_diagnoses,new_known_deaths,new_quarantined,new_vaccinations,new_vaccinated,n_susceptible,n_exposed,n_infectious,n_symptomatic,n_severe,n_critical,n_recovered,n_dead,n_diagnosed,n_known_dead,n_quarantined,n_vaccinated,n_alive,n_naive,n_preinfectious,n_removed,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,iq_factor,cluster_size,vax_coverage,vax_efficacy,day_max_new_infections,r_eff_07,r_eff_15,r_eff_30,r_eff_60,r_eff_75,r_eff_90
mean,28627.204,0.0,23255.416,2301.129,146.943,46.214,15779.562,11.172,720095.58,1539.547,9.861,70809.966,0.0,0.0,1304.089,0.0,1069.233,104.684,6.794,1.974,747.764,0.516,0.0,0.0,0.47,3307.877,0.0,0.0,5071370.423,12836.983,7459.445,794.633,85.726,23.449,15779.119,11.077,1538.117,9.739,41391.975,513990.139,5099987.937,5071370.875,5377.061,15791.157,0.0025171568933360366,0.0002574642974294925,1.4450461548471387,14.758169090641207,0.0,0.0,0.10078273943834873,0.0,0.0,0.0,0.0,20.0,0.9,0.45,95.447,3.136274803445728,1.608616582553531,1.7415509793308699,1.604744613455681,1.4726085264862725,1.434852792119024
median,28196.0,0.0,22914.0,2283.5,144.0,44.0,15628.0,10.0,720096.0,1520.5,9.0,69952.5,0.0,0.0,1283.0,0.0,1034.5,99.0,5.0,1.0,722.0,0.0,0.0,0.0,0.0,3163.0,0.0,0.0,5071739.0,12523.0,7244.5,771.5,82.0,21.0,15610.0,10.0,1525.5,8.0,40583.0,512049.5,5099989.0,5071803.0,5249.0,15640.0,0.002455539503782928,0.00025307577872737784,1.4420535789551434,14.7860050237372,0.0,0.0,0.10040213842826323,0.0,0.0,0.0,0.0,20.0,0.9,0.45,96.0,3.0309350649725166,1.4840005706672383,1.7344798756019753,1.5922356053749878,1.4554260896295974,1.4313021379482103
std,11519.00141027311,0.0,9437.323307705325,933.4181205369579,64.86584099761853,22.063930316718757,6565.832363438834,6.929822395879885,4.185345519442465,628.9881969822192,6.250179496921968,28928.666147195585,0.0,0.0,512.9625070242587,0.0,418.64027086197456,45.315865562423845,5.816992470461123,2.638235069944353,292.7731312986395,1.3746394558696593,0.0,0.0,1.3079796675831055,1410.9430776042097,0.0,0.0,11517.811984269232,4996.363905780882,2894.327291348448,314.1277742727783,38.774429465568936,13.341566489599202,6569.524271512588,7.89667198435065,630.3893241569142,7.203246890518592,16607.18194283598,196699.4649170005,7.06944184557791,11519.779583091771,2109.305968546988,6570.8720724225905,0.0009796910718987482,0.00010179643735910523,0.11293631102086003,1.0989962269220324,0.0,0.0,0.03856872562159192,0.0,0.0,0.0,0.0,20.0,0.9,0.45,2.9053727815893096,1.0691344398999998,0.676207595502378,0.35296101012938125,0.15214862708348909,0.12666922984157994,0.09168354579859435
