,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Mean_reff,SD_reff,Mean_r_eff_val,SD_r_eff_val,Mean_Suppresion_Day,SD_Suppresion_Day,Mean_Critical,SD_Critical
24,291.465,290.8622376228994,0.765,4.349974137854158,1.5374265947579733,0.6740849666840176,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,33.15,29.846984772335052
25,311.1,319.1271768433393,1.02,4.996959075277684,1.569523520110266,0.6564097140499553,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,33.915,30.398524224047456
26,328.185,339.45959741182753,1.02,4.996959075277686,1.6270895696876064,0.684744415954044,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,35.7,31.84948979183182
27,370.515,351.1314814638529,0.51,3.569999999999998,1.6779829206149517,0.7111432520282602,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,37.74,30.489299762375644
28,370.005,361.56976847490984,1.275,5.557596153014364,1.6945980502697886,0.7160966363879226,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,39.78,31.08909133442145
29,423.81,451.39725176389805,0.51,3.569999999999996,1.6957241466821886,0.7049749601882397,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,41.31,32.412094964688706
30,426.615,445.5989837005914,1.275,5.557596153014359,1.7236416375965515,0.6994076546218326,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,41.055,33.031113741440805
31,490.365,487.89510581168986,1.02,4.996959075277684,1.7820056082081528,0.7485185701201065,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,41.055,32.6350191512124
32,534.225,531.4823391938816,2.295,7.297634890839639,1.8183214435856438,0.7861935782511532,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,40.8,34.96383846204531
33,552.84,538.5498578590472,1.53,6.055914464389342,1.8062775522016603,0.794568862679886,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,39.525,36.48817445419818
34,581.4,558.6886476383784,1.275,5.557596153014362,1.7626114409643034,0.7351791334303619,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,42.33,39.540625943452135
35,609.705,618.2590035535269,1.275,5.557596153014354,1.6917001438183459,0.6474796725505289,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,42.075,40.21811625374813
36,612.0,622.8371737460762,1.02,4.996959075277683,1.6182633364609873,0.5973966537017305,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,43.605,42.71459323229006
37,653.82,663.2698527748717,0.765,4.349974137854158,1.591533321472533,0.58755151032238,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,45.135,44.145942905322585
38,723.945,709.861514293457,1.53,6.0559144643893426,1.604958738432387,0.6008589213898634,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,46.665,42.981685343876414
39,790.5,784.3892847304838,0.765,4.349974137854159,1.6113002261569997,0.6078495663982193,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,48.45,44.093621987765985
40,817.02,805.2423576787302,1.785,6.506248919308266,1.5935952227089276,0.6102036959603672,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,49.98,45.318314178707034
41,804.78,800.6051408778239,0.765,4.349974137854159,1.565197622807729,0.6052925238813068,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,52.785,47.876886646898825
42,872.355,877.8172312474845,1.53,6.055914464389336,1.5581706497377923,0.5986868947761992,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,55.08,49.277719103059155
43,929.73,910.2137040827281,0.765,4.349974137854158,1.5903187380690245,0.6087065148709937,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,59.67,53.27242344778393
44,1002.915,971.6072561868813,0.51,3.5699999999999967,1.6231927096590955,0.6157901320557131,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,63.75,56.733918426281825
45,1066.155,1055.4393935584362,0.51,3.5699999999999954,1.6251166060074047,0.6218959987559461,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,66.555,62.34684815610167
46,1078.905,1003.3250039119929,1.02,4.996959075277689,1.6244421789539905,0.6034916354449344,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,69.615,67.16285636421368
47,1117.155,1037.481500304945,1.275,5.557596153014358,1.6516052543012203,0.5877813811355557,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,72.93,73.11166186047204
48,1178.865,1064.9714382437683,2.295,7.297634890839641,1.6871469370378014,0.6783254407441272,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,73.185,73.43424456614233
49,1241.34,1100.6012694886374,4.08,9.348454417709904,1.6854763856770858,0.6646671988743924,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,73.44,73.31238913035092
50,1295.145,1150.3202060622077,1.785,6.506248919308263,1.6422785158662319,0.6005823971917459,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,78.03,81.90384056929199
51,1354.05,1196.4501086547652,2.295,8.140053746751311,1.6137832849307054,0.5763415593128008,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,85.935,91.20698040720347
52,1413.21,1216.7545113538722,2.805,9.46939676008984,1.6445463317708726,0.556851048989899,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,91.8,97.43536319016827
53,1501.95,1235.39276042075,1.53,7.048340230153483,1.7004960717055584,0.5961977146001147,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,100.47,102.6874583383969
54,1577.43,1278.0106474908573,1.785,6.506248919308266,1.7198329455459536,0.660313912082124,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,103.53,107.99603742730564
55,1617.975,1340.055327915605,2.805,7.978688802052626,1.6916617359263082,0.6630474885661946,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,110.67,115.86207792025824
56,1637.1,1321.7464469405622,2.295,8.140053746751311,1.652064327306051,0.6043767799371311,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,118.575,123.84575840536483
57,1734.51,1339.0194471702046,3.06,9.730179854452839,1.6378362093899537,0.576192145871246,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,126.99,128.36305893830985
58,1788.57,1360.802046625445,3.315,9.303132536946887,1.6431468745700661,0.5776798380337362,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,139.74,145.6619284507794
59,1880.115,1418.230384766523,2.805,7.978688802052624,1.6434607083405917,0.6189472680608289,1.608882564144619,0.20604518116860937,456.66,137.86611041151482,150.705,157.60959829591593
